start	end	text
1000	2320	尊敬的战友们好啊
2680	5560	这个5月22号啊 5月22号战友们好
5920	8440	我相信大家昨天都看了福克斯的
8840	13040	对闫丽梦科学家我们的天使啊
13040	16040	这个采访啊 再次的震撼了世界
16960	20160	美国和世界上新闻媒体当中
20560	22440	男的就是这个Tiger
23520	25720	女的就是这个Opera
25720	29120	可以说世界新闻媒体主持人最牛的啊
29680	31360	那么新闻这个
31720	33840	点评里面最牛的就他了啊
34160	35520	这个Tiger是最厉害的
36000	37320	那么昨天的访问当中
37320	39720	其中他这个对科学家的
39720	41520	充满了更高的敬意之外
41720	42960	其中就说到了啊
43240	45160	会给美国总统勋章啊
45640	48600	如果科学家他拿这个勋章
49200	50440	他在乎这个勋章
50440	52000	他就不会再是我们科学家
52760	54240	他也不会是我们的天使
55440	57240	就像昨天晚上播出以后
57480	58560	好多美国朋友
58560	60400	包括昨天我在海上啊
60760	62400	去见面的那位朋友啊
63040	67240	都是帮助科学家在全世界推广
68280	71160	科学家关于那三个报告的
71160	72800	真正的背后的招折地的人
73680	76120	也是这个福克斯老板都要害怕的人
77120	78320	他说你怎么看这个问题
79120	80720	我说科学家和天使
81640	84000	最重要的就是一个让世界知道真相
84000	84960	减少灭亡
85640	87160	他是有上天的使命的啊
87480	88960	如果他在乎任何荣誉
89960	91880	任何虚荣他就会被击垮了
92640	93320	不可能的
94640	97040	所以说科学家应该得到的荣誉
97040	98480	绝对不是个总统勋章
99880	103480	等到这个冠状病毒真相大白之日
104080	105960	也不仅什么诺贝尔奖
105960	107520	这都是不配他的
107520	109480	会有更大的奖励等待著他
110280	111920	那时候全世界人民
111920	114160	真正的看到了一个天使
114160	115560	来到了人间
115560	116280	勇敢的
117480	118000	具有
118800	120400	不可思议的这种毅力
121840	122680	还有他这种
124280	126480	把天下苍生的生命
126480	128480	摆在这生命的之上
130520	133680	这才是真正的我们的科学家天使
133680	135600	而不是这些虚伪的
135600	136960	虚荣的这种浮华
138400	139800	大家走著看吧
139800	141760	那么从这个昨天到现在
141760	143600	大家看到国内的街
143600	144640	深圳的楼镇
145640	147160	现在又出现了桥镇
148280	149560	还出现了粮镇
150320	153080	还出现了银行的金融镇
153080	153920	叫航镇
155240	158360	然后比特币虚拟币的叫币镇
159440	160320	到处镇
160320	161240	反正是到处镇
162720	164440	但是大家更要看到一点
165880	167600	不仅是天上下冰雹
168920	172080	武汉打惊天之雷
172080	172720	滚地雷
173560	175240	也不管看是北京什么样
176120	178960	中国共产党的内部的政治斗争
178960	180560	已经到了水火不容
181600	183120	什么刘鹤啊
183120	184680	曾庆红啊
184680	186080	王岐山啊
186080	187240	是吧
187240	188160	这都没用
189760	191720	大家要看到的是军方
193120	197000	中共的军方从来没像今天一样
197000	198640	一个人说了算
198640	200080	就是徐其亮
200080	202240	徐其亮的下面就是海军
202240	204400	海军统治全中国的军队
205800	206800	海军干啥了
207920	209080	空军干啥了
209080	209600	空军呢
209600	210880	空军说了算
210880	211640	海军干啥了
211640	212560	空军又干啥了
214320	215960	大家都看明白了吧
215960	217480	这就是今天的中共
218520	222120	军队已经开始了残酷的斗争之中
223880	225680	军队的斗争涉及到军费
226600	228600	涉及到贪污军费
228600	230600	涉及到大额的军费订单
231600	235280	当然要涉及到枪把子指挥谁的问题
235280	237280	中国军队从来没想过去打别人
237280	238280	觉得啊
238280	240280	就军队主要是打自己人为优先
240280	240720	是吧
240720	242040	先杀中国人
242040	243240	必杀中国人
243240	244560	中国人不打中国人
244560	245840	中国人只杀中国人
245840	246480	是吧
246480	248280	解放军就干这个的
248280	249280	怎么杀中国人
250640	252120	还有一个
252120	253000	大家看到了
253000	254040	最近一带
254040	256600	欧中结义被干掉了
257600	260600	日中之间的所有的
260600	263600	所有的本国货币互换
264600	266600	日中协议
266600	267600	灭了
268600	270600	印度和中国搞的什么
270600	272600	这个和平走廊
272600	274600	拉倒了
274600	276600	什么中巴关系
276600	278600	也不铁了
278600	280600	巴铁巴铁也不铁了
280600	282600	俄罗斯现在他利用俄罗斯
282600	284600	俄罗斯跟他打太极
284600	286600	借招还招
286600	288600	见招还招
288600	290600	见招拆招
290600	292600	给钱来
292600	294600	在中东
294600	296600	在中东最铁的关系
296600	298600	这几个国家现在已经全部炸裂了
298600	300600	全部炸裂了
300600	302600	为什么
302600	304600	有人挑拨离间
304600	306600	党内看不了
306600	308600	习近平、习大臣这几年
308600	310600	最大的外交功劳就是中东
310600	312600	前所未有的好
312600	314600	现在
314600	316600	很多人不想让他搞好
316600	318600	就把这关系搞砸了
318600	320600	砸的很厉害
320600	322600	过一段时间所谓最铁的哥们
322600	324600	都变成敌人了
324600	326600	走著看
326600	328600	记著我今天说的话
328600	330600	中东几个最铁的哥们
330600	332600	现在要变成敌人了
332600	334600	对他不是好事吧
334600	336600	不但如此
336600	338600	兄弟姐妹们
338600	340600	现在我们看到什么
340600	342600	这个楼上先来了一个新的一家
344600	346600	我就不说多了
346600	348600	据我所了解
350600	352600	核心的那几个人物的家人
352600	354600	都往美国、欧洲跑
354600	356600	美欧去不了
356600	358600	就去日本
360600	362600	斜家带口的跑
362600	364600	为什么
364600	366600	他们说不是这镇那镇
366600	368600	整个中国要大地震
368600	370600	大地震
370600	372600	官场大地震
372600	374600	共产党玩球蛋了
374600	376600	昨天我在海上
376600	378600	见的那位朋友
378600	380600	第一句话就说什么
380600	382600	共产党
382600	384600	真的时日不多了
384600	386600	我纠正他
386600	388600	共产党玩球蛋了
388600	390600	不是我上自由女神
390600	392600	他拜两下他就完蛋了
392600	394600	在我的左边
394600	396600	右边麦哈顿的华尔街
396600	398600	右边的纽泽西的所谓的新制商业中心
400600	402600	过去的制造核武器的
402600	404600	麦哈顿计划
404600	406600	小岛
406600	408600	你看看这个周围的人
408600	410600	你去问问在四年前
410600	412600	有多少人恨共产党
412600	414600	有多少人了解共产党
414600	416600	现在有多少人要消灭共产党
418600	420600	这叫人心啊
420600	422600	昨天晚上
422600	424600	香港逃出来的
424600	426600	到这个台湾
426600	428600	到了日本的
428600	430600	还有现在到了欧洲的
430600	432600	咱们一些兄弟跟我这个通话
432600	434600	从来我没见过香港这些孩子
434600	436600	这么痛苦的
436600	438600	当他们离开了以后
438600	440600	到了西方
440600	442600	看到了西方的这些文明
442600	444600	虽然在香港能接触那么多国际化的东西
444600	446600	但他还是不了解
446600	448600	然后看到香港今天出现这些荒唐的事件
448600	450600	还有这些手足被杀被抓的
450600	452600	这些事件
452600	454600	现在街上挂出的那些共产主义横幅
454600	456600	现在听说共产党
456600	458600	要给文化大革命要平反
460600	462600	香港这些孩子痛苦
462600	464600	但是他们绝对是我们中国人的
464600	466600	圣城、士武的英雄
466600	468600	这些力量
468600	470600	香港恐惧中的台湾
470600	472600	在海外
472600	474600	被威胁的所有华人
474600	476600	不能回家的华人
476600	478600	以及在世界上饱受冠状病毒
478600	480600	威胁的全世界人民
480600	482600	以及现在比特币镇
482600	484600	虚拟镇比币镇的
484600	486600	这些丢失了巨额财富的人
486600	488600	他们想干死谁呀?
488600	490600	共产党
494600	496600	科学家昨天的采访
496600	498600	背后有多少个世界上的勇敢的
498600	500600	有正义的人在背后的推动
502600	504600	他的每一次采访
504600	506600	都是福克斯上层
506600	508600	和背后的老板
508600	510600	管理层一次又一次的较量的结果
512600	514600	包括和美国政府
514600	516600	这不是开玩笑的
516600	518600	现在
518600	520600	每天每时每刻
520600	522600	以毒灭共
522600	524600	它这个效率
524600	526600	和全世界的影响力
526600	528600	真的是像被点燃的
528600	530600	干柴一样在全世界燃烧
530600	532600	没有人可以阻止
532600	534600	以毒灭共
534600	536600	因为那个毒就是共产党发的
536600	538600	可悲的事情全是人类
538600	540600	只有我们暴力革命
540600	542600	新中国联邦
542600	544600	科学家路德访谈
544600	546600	博士军团和我们所有全球的农场
546600	548600	在面对著
548600	550600	这个凶恶的
550600	552600	共产党的
552600	554600	对人类的残杀和毒害
554600	556600	只有我们敢讲真话
558600	560600	战友们共产党已经
560600	562600	成了全世界
562600	564600	过街的老鼠
564600	566600	各农场一定要找出
566600	568600	最高的最有水平的
568600	570600	直播的人士
570600	572600	做出高质量的
572600	574600	高品质的直播节目
574600	576600	以毒灭共以前灭共
576600	578600	让世界上所有人
578600	580600	通过GNews
580600	582600	GTV 盖特看到共产党
582600	584600	在世界上所犯下的罪行
584600	586600	不仅种族大屠杀
586600	588600	不仅是反人类的罪
588600	590600	它还正在犯著一个要消灭
590600	592600	全世界它是全世界
592600	594600	人类的威胁
594600	596600	到时间了
596600	598600	我该走了
