start	end	text
0	5280	哎 好了 尊敬的战友们好 四点二十几号
5280	9400	上午啊 上午 给你们发了那个视频说
9400	14440	都刚刚的开完停 这个是从今天 昨天晚上
14440	18520	就是两点钟起床到现在 整整十八个小时
18520	22040	十八小时 这个除了昨天晚上两点
22040	26160	到今天早上六点 一直在跟亚洲的战友们
26160	29880	还有一些其他地方在开会啊
29920	33920	然后就是今天就开庭 感触太深了
33920	39080	就是今天我是由pass官司有史以来 五年
39080	41800	我第一次站到法庭上作证
41800	44080	奥斯特雷克法官到时候我去过 上去我说
44080	47760	I do 他说你下去吧 再也没让我说过话
47760	51080	然后就罚了现在两亿多美元 是吧
51080	54880	这次法官就让我在今天几乎一下午啊
54880	58760	从1点15开始 一直作证到将近五点
58760	62800	五点左右 将近五点 四点 四点半左右
62800	68280	然后呢 这位是一个非常荣幸的是一位女法官
68280	74840	这个法官个子特别高 特别瘦 非常非常的优美
74840	79480	就特别的让人尊敬 就像一个 就像一个老师
79480	83080	像一个姐姐一样 人非常细
83080	87360	就是一直在看文件 一个字都不错过
87400	93720	就是人特别的细 特别的认真 特别的优美 真的是
93720	95680	然后这个法庭上所有的书记员什么
95680	99160	都是特别的友善 特别的好
99160	102200	然后呢pass这边一如既往的十几个人
102200	107840	还有ray马官司 都是无中无前的法人士 就出来
107880	111080	一如既往的就是个人攻击吧 跌了呱啦 跌了呱啦
111080	115640	今天就俩事 就是所谓的容不允许借款
115640	118080	来支持这个破产案
118080	120840	第二个就是对一个所谓对方要把这个案子给
120840	125600	第一次就给取消 开庭的时间
125600	129400	然后呢 就问这些事 你说就是个程序
129400	133760	但这个程序它很重要 很认真
133760	135760	然后咱们律师都很专业
135760	138760	养鞭大概今天二十几个吧 都是律师
138760	142480	二十五六个律师 这打官司真是打的钱 我的天
142480	145440	肝都疼 这怎么打官司
145440	147920	但是呢 今天我觉得特别好
147920	152120	我觉得最让我感动的是让我这个亲身的学习
152120	154760	感受美国的法律
154760	159240	真的是让人感受到一旦这个社会有了法治
159240	164560	这个人的邪恶 真假 他有杠杆 他有手段
164560	168360	如果这个法律不被这个极少数人控制
168360	173520	有真正的公平和透明和独立太伟大了
173520	177520	虽然今天已经是18个小时 一点没感觉到累
177520	179160	一点没感觉到累
179160	181160	今天这个对方找了一个翻译
181160	184600	这个中国女孩 好像是中国女孩 非常好
184600	187840	小女孩这个第一次翻译 上庭
187840	190600	我很少看到这么好的翻译 百分之八九十吧
190600	192640	都翻译下来了
192680	196240	余娜作为一个叫确认翻译员
196240	201200	对方反对我使用余娜 说是跟我说翻译时间太长了
201200	203520	疯狂 疯狂
203520	208120	但是我觉得真是对方的律师 说明了五年来攻击咱
208120	210240	咱对人家律师没意见
210240	214000	人家吃这碗饭的 人家不吃这碗饭吃那碗饭
214000	218320	关键是这个PAG和背后的共产党
219320	222240	兄弟姐妹们 阿傻的不火了
224720	228160	最终结果 我觉得今天我们是大赢
228160	230560	而且我觉得有机会能跟法官
230560	234280	能跟法官展示我们这个案子
234280	236840	这个中间我介绍了这个背景 是吧
236840	239240	到这个过程 我特别的开心
239240	243000	让更多人知道这个案子真实背后的故事
243000	246720	还有一个西哥的 咱们爆料革命的背景
246760	251400	老兴奋吧 傻的不火了
251400	253960	明天我真是 后天不行
253960	257480	后天是一个就是 川斯蒂的一个听证会
257480	259720	也是一天 就是星期五
259720	264840	就是所谓的司法部的一个所谓的川斯蒂的会
264840	268240	这个他对我们一点不友好 不太友好
268240	271960	但是这是小事 明天找时间了
271960	274640	我看看能不能直播一会
274680	278080	因为明天我有好几个大的 其他方面的会
278080	283480	嗯 你们懂的 灭共正在关键时
285280	286800	谢谢战友们的关心
286800	289120	很多战友发的信息 我都已经回复了
