start	end	text
0	2000	我现在开完会了 喝杯咖啡
6000	7000	哎呀 这好咖啡
9000	12000	相当的咖啡 七哥的不粮嗜好
13000	14000	冰棍儿
19000	21000	你说喝着这么好的咖啡
21000	23000	吃着这么好的咖啡
23000	25000	吃着这么好的咖啡
25000	27000	吃着这么好的咖啡
27000	29000	吃着这么好的咖啡
29000	31000	吃着这冰棍儿 啥感觉啊
37000	39000	我发现这黄色的爱马仕摩依
39000	41000	我有两件
42000	43000	天呐
43000	45000	这件好像没穿过
50000	51000	还有
51000	53000	谢谢日本的啊
53000	55000	乔本先生
55000	56000	草莓
60000	61000	嗯
61000	63000	这个草莓 你看看
64000	65000	你看看一样吗
65000	67000	完全不一样
75000	77000	这个草莓是日本的草莓
77000	79000	这个日本草莓是美国草莓的
79000	81000	十几倍干的
85000	87000	所以说什么叫质量
88000	90000	质量就是时间
90000	92000	就是智慧
93000	95000	质量是要付钱的
98000	99000	现在
100000	102000	今天上午
102000	104000	到现在
104000	106000	各国军方情报机构
107000	109000	我相信他们都在想
109000	111000	共产党有这个
112000	114000	没成功的疫苗
114000	116000	绝对有解药
118000	119000	谁说的
119000	121000	郭文贵说的
121000	123000	那咋办呢
123000	125000	找共产党要解药去啊
128000	129000	对吧
130000	131000	真好办
131000	132000	想活吧
132000	134000	想活去要解药去
134000	136000	找谁 找共产党啊
136000	138000	地点 中南坑
143000	144000	兄弟姐妹们
144000	146000	你说外国人信不信
147000	149000	你们说他们信不信吧
151000	153000	咱说话的时候
153000	155000	他有各全世界的
155000	157000	专家的印证
159000	161000	你可以不信啊
161000	163000	我也不要你钱
163000	165000	咱这爆料革命和新中国联邦这个买卖
165000	167000	做的好在哪儿啊
167000	170000	我们在追求一种信仰
171000	173000	不在乎谁跟随
173000	175000	不在乎你付不付钱
178000	180000	不在乎你买不买
184000	185000	对吧
186000	188000	你也不知道你信不信
189000	190000	你可以不信啊
191000	192000	是吧
193000	195000	这病毒又不是我们产的
199000	201000	但我要告诉你们答案
202000	203000	这个人类呀
203000	205000	为什么都爱看阿里巴巴的故事
205000	207000	都想成为
207000	209000	找到那把钥匙的人
209000	211000	都想成为芝麻开门
211000	213000	开门那个人
213000	215000	我们能让每个人
215000	217000	都能找到阿里巴巴
217000	219000	藏宝的那个地方
219000	221000	而且你都会芝麻开门
221000	223000	你都会
225000	227000	对吧战友们
229000	231000	随着跟共产党你得斗什么
231000	233000	你得斗勇
233000	235000	他没有勇
235000	237000	你得斗智
237000	239000	他没有智
239000	240000	他只有狠
240000	241000	下流
241000	243000	那咱现在要干什么呀
247000	249000	斗我吧
250000	252000	因为我们不在乎
254000	255000	他们信不信
255000	256000	你看今天说
256000	257000	怎么这么这样
257000	259000	我说你可以不信啊
259000	261000	证据没有证据啊
261000	263000	我们有情报
263000	265000	你去核实去吧
265000	267000	对吧
269000	271000	就像是买G club
271000	273000	这么多人买G club
273000	275000	可能说我为什么买
275000	276000	给我个理由
276000	277000	我说你可以不买啊
277000	279000	有的是俱乐部卡
279000	280000	去买别人去买
280000	281000	买什么G club
281000	283000	不要买吧对吧
283000	285000	不要买G club
285000	287000	全世界的品牌全都赔钱
287000	289000	你买他们去
289000	291000	不要买我们G club去
291000	292000	对不对啊
292000	293000	直播平时
293000	295000	他说为什么要到GTV直播
295000	296000	我说你去什么
296000	298000	李TV YouTube
298000	300000	去别的直播行吗
305000	307000	等着我们GTV
307000	309000	盖特
309000	310000	走着看
310000	312000	给你们亮点什么煞气
316000	318000	共产党
319000	321000	我知道你们每个人都在看我这直播
321000	322000	是吧
