start	end	text
0	3140	尊敬的战友们好
3140	7440	我刚刚的这事给大家发完概托以后
7440	9240	现在在车上
9240	11320	我来去开会的路上
11320	13400	那么在开路上的时候
13400	15840	我边在这边看一个视频会议
15840	18960	然后这边是我们的GTV
18960	21920	四位超级美女啊
21920	23280	小福利
23280	24880	台湾巴黎
24880	26120	小飞象
26120	27040	小飞象
27040	29520	还有我们的小Sara
29520	31680	天呐
31680	33080	这四个人排在那时候
33080	35120	七个一下就激动了
35120	38160	就是我是作为父亲的一个男人
38160	40760	虽然这个跌倒的有点早是吧
40760	42680	当时我看著这四个孩子的时候
42680	43920	你去想想
43920	45320	我如果是他爸爸的话
45320	47360	我会怎么看待我的孩子
47360	47720	是吧
47720	49920	我看到我的孩子这么开心
49920	51080	这么快乐
51080	53200	笑的那么样的自由
53200	55720	我会是多么的开心
55720	58520	小福利已经是一个孩子的母亲了
58560	61360	他先生比他高这么多
61360	62720	先生真帅呀
62720	63120	哇塞
63120	64800	他先生老帅了
64800	66800	所以小福利这家伙很聪明
66800	68440	把老公藏家里看孩子
68440	70240	他出来直播
70240	72200	反正他老公好出不了墙是吧
74280	75200	台湾巴黎
75200	78280	你看他的男朋友是我们的大牛
78280	79280	大牛
79280	80600	超级帅哥
80600	83000	你看他们都多幸福啊
83000	83800	多幸福
83800	87200	我们的小飞象好像现在跟一个
87200	89320	比他小好几岁的谈恋爱是吧
89320	91520	好像未成年男孩
91520	94520	我们的小Sara好像也跟一个
94520	96000	好像有没有还不知道
96000	97840	别搞错了
97840	100800	这个小Sara的老娘
100800	102520	是个非常非常棒的人
102520	103920	非常棒的人
103920	104680	所以说
104680	106560	当你看到这个画面的时候
106560	108240	你看到的是什么
108240	109640	你就看到这中国人啊
109640	111480	活著不憋屈的时候
111480	112800	他活著不憋屈的时候
112800	114040	他活啥样
114040	115120	这是你能想像
115120	116960	如果中国人不是那么老杂毛
116960	118320	控制CCTV
118320	119880	那些傻货啊
119880	124840	那些都把那些真的是中国人形象都给彻底固化了
124840	126720	僵尸化了
126720	128000	彻底给那个
128000	129680	就那个化石感觉啊
129680	130680	简直是疯了
130680	131720	看那些人
131720	133200	看一看几十年
133200	134080	你烦不烦啊
134080	135000	你说啊
135000	136400	你烦不烦呐
136400	137120	几十亿人
137120	139960	你让我天天看那几个老驴脸啊
139960	141600	天天搭著个脸
141600	142560	是不是啊
142560	146040	天天就像拿著打火机到处找汽油的感觉
146040	147720	一个个苦大仇深
147720	149480	阶级斗争为纲的感觉
149480	151120	恶心不恶心啊
151120	152400	但你看我们这人
152400	154360	在今天的画面啊
154360	155800	多么的真实
155800	157120	多么的阳光
157120	159560	多么的开心
159560	161760	而且你看他们这四个孩子
161760	165200	每个人的英文讲的比这个上海话都好
165200	166800	用吴征话说
166800	169280	用英文讲的比上海话好
169280	171080	吴征到那和杨澜吹牛叉
171080	172080	跟外国人啊
172080	173760	我英文比上海话讲的好
176800	178320	啊
178320	178880	真是
178880	180680	很多战友问这个什么车
180680	182160	就是昨天我发了过了
182160	183640	这是麦巴赫
183640	184680	SUV
184680	188520	七哥是全美国第一台第二台都是七哥的
188520	190240	这些好车厂家
190240	192960	他们一定是献给我用的
192960	195760	我们家族基金也是他最大的买家
195760	197200	最大的买家
197200	198000	老爸了
198000	198840	老爸了
198840	199840	但是你也来不了啊
199840	200600	是吧
200600	200920	行了
200920	202320	我就不说了啊
202320	204120	这个今天看的这个节目特别棒
204120	205080	然后呢
205160	206720	G-Fashion今天早上
206720	208080	我没说啊
208080	210720	是G-Fashion的总裁开庙
210720	211520	给我发信息
211520	212120	啊
212120	213440	这四个女孩
213440	217680	我们要给他做这个G-Fashion职业衣服
217680	218880	可以
218880	219760	可以啊
219760	223440	所以说未来你这几个女孩子要跟G-Fashion的总裁
224760	226760	你跟小妹直接联系就可以了
226760	229480	你们要找设计师上上你们的节目
229480	231560	将来我们跟你聊聊G-Fashion
231560	233080	特别有意思
233080	234200	放开了
234240	235880	做自己
235880	238960	做一个高尚的自由的自己
238960	240720	不要有任何顾忌
240720	245320	共产党跟我们心里面植入的所谓的文化红线
245320	247160	道德红线
247160	248960	法律红线
248960	252120	什么什么八连八齿
252120	253720	八连八齿
253720	256000	八连八齿红线
256000	259720	这些都把我们严重的束缚了我们的发挥
259720	261200	我们的所长
261240	262760	和让我们说
262760	264520	挖出我们的潜能
264520	266200	和让我们失去了自己
266200	267560	这帮老毛骂犊子
267560	269320	他们什么八连八齿都没有
269320	270360	他让我们遵守
270360	274480	就是做不伤害别人最快乐的自己
274480	276160	这就是七哥要跟你们说的
276160	277160	怎么样
279160	280040	几位美女
280040	283000	是一个GTV时代新的开始
283000	283560	太棒了
