start	end	text
0	6140	法定人数不足
30000	33520	啊 还是没聊天啊 还是没聊天啊
34240	37320	还是看不到留言的 就不看留言了啊
37320	41200	就不看留言了啊 兄弟姐妹们啊 就不看留言了啊
43600	45680	就不看留言了啊 兄弟姐妹们啊
47120	50080	这个很多战友 哎 我看看 只要能出去就行了
60000	86160	好 只要出去就好了啊 行了 就看不到留言了啊
86160	87640	我就不看大家留言了啊
88640	93320	兄弟姐妹们啊 因为刚才啊 这个很多很多战友呢
93320	99040	发信息啊 这个给七哥 说这个 七哥讲几句 讲几句 讲几句
99040	103040	啊 那我 好吧 太多了 我真的没办法
103040	105080	那手机就一直噗咙噗咙噗咙噗咙噗咙
105080	110040	然后呢 很多战友说 七哥 哎呀 这个心里不落听啊
110040	114040	要听几个说几句 那就说几句 刚才一直在健身
118640	123960	我说好吧 咱就赶快拉完身 我马上 我11点多一点
123960	127840	就出去 所以没有什么时间啊 我就简单给大家露个脸
127840	131600	啊 简单说一下 特别是昨天直播完以后呢
131600	134920	很多战友发信息啊 我没办法一回啊
134920	140400	有人说是这个马化腾的 腾讯的原来的股东之一啊
140400	143720	在美国买的房产 还有在英国买房产的啊
148640	152640	那么 战友们问 这个会不会有问题呢
152640	155640	这个资产 我可以告诉大家 百分之百有问题
155640	161640	啊 还有的是 这个在所谓的香港那几个红色家族啊
161640	165640	代表他们买的资产啊 在加拿大 会不会有问题呢
165640	170640	一定会有问题 啊 还有在问有在加拿大的 华为的啊
170640	174640	原来华为的高管啊 买的那个那个房子
175640	178640	一定会有问题啊 你不用听我的
178640	182640	你去查查 美国在制裁当中 在俄罗斯制裁
182640	186640	北朝鲜制裁 伊朗制裁啊 大家看一看
189640	192640	大家看一看 都包含了什么人啊
192640	196640	只要是共产党啊 所谓的上了名的企业
196640	199640	和共产党来的资金 几乎全部在查封之内
199640	203640	有没有机会 未来给你平反呢 也有机会 是吧
203640	206640	比如说像马化腾啊 马云啊
208640	211640	徐家印啊 你像肖建华的钱 百分之百给他没收
211640	214640	百分之百给你没收 你怎么折腾都拿不走的
214640	217640	这个傻货 还外边存上一二十亿美元
217640	221640	这是愚蠢的东西啊 这个世界上没有比喻再可怜的
221640	224640	就是捣乱了一辈子是给人家捣乱了钱 是吧
224640	226640	这完了 那麻烦了
226640	229640	那么另外一个就是很多战友说
229640	232640	那我在银行里边 我买的股票啊 证券啊
232640	236640	有价债券啊 兄弟姐妹们 只要你钱动过
236640	240640	只要和共产党有关系 都会给你查的本清
242640	244640	这个时候 那钱上哪儿去啊
244640	246640	我跟你说 只有两样地方去
246640	251640	第一个 把金砖 你还买这个金砖别人家大得买
251640	253640	你买个三亿美元两亿美元的金砖
253640	255640	肯定找你家去 是吧
255640	257640	这个就是食物切割
257640	260640	第二个就是数字货币 没有什么地方
260640	264640	但是有这种大钱的一定会有麻烦
264640	266640	像有个战友在洛杉矶
266640	268640	代表共产党的所谓国有企业
268640	271640	中石化下属什么山东分公司
271640	274640	买了两个办公楼 那百分之一万给你封了
274640	276640	一定给你查
276640	278640	我今天这个小直播告诉大家
278640	281640	你去一个负一切责任告诉大家
281640	284640	所有在西方世界 包括日本
284640	288640	只要不是北朝鲜 只要不是伊朗的资产
288640	290640	百分之百可以给你查
291640	295640	银行 股票 存款 有价证券
295640	301640	然后黄金 大额物资 固定资产 有价证券 都会
304640	307640	唯一安全的地方就是数字货币
307640	310640	数字货币里面最安全的目前
310640	312640	最大风险的是比特币
312640	314640	以太币 HB是唯一的
314640	316640	千万别进赵长鹏的币安
316640	319640	进他币安就傻了 那就著死去了
319640	321640	赵长安百分之百得被查封
321640	323640	百分之百被抓
323640	325640	赵长鹏的孙子他要听了说
325640	327640	你看他什么法国了
327640	328640	滚蛋吧他就
328640	331640	百分之百被抓赵长鹏
331640	333640	因为他是跟共产党合作的
333640	336640	而且一夜之间他什么都没有
336640	339640	那俄罗斯的那些富豪不比他牛叉啊 是不是
339640	341640	一夜之间连吃饭钱都没有了
341640	343640	何况他犯下这么多原罪
343640	344640	和共产党合作
344640	346640	那百分之一万的
346640	349640	只要沾著中国人中国共产党的都惨
351640	354640	像那什么福建会呀 是吧
354640	356640	中国华人战略学会呀
356640	359640	这战会那战会的你什么战会的钱
359640	360640	都得给你封了
360640	362640	因为那是共产党的脏钱
362640	364640	就像俄罗斯一个德行
364640	365640	就这么简单
365640	369640	你要不相信咱们周则侃
370640	375640	你惹又没事别被使贺传 是吧
375640	377640	到时候你就知道啥感觉了
377640	378640	好吧这回复一下
378640	381640	另外一个国内现在这个北京隔离
381640	382640	很多战友发信息
382640	383640	七哥感谢你
383640	386640	我备了粮我躲出来我跑出来
386640	388640	可以说这么说
388640	390640	加拿大两百万排队移民
390640	392640	日本多少人
392640	393640	英国多少人
393640	395640	澳大利亚多少人
395640	398640	你把这国家加在一起是多少人
398640	402640	加在一起上海所谓的两千三百万
402640	404640	整个谈判两千三百万
404640	407640	现在往外移民的中国绝对超过五千万
409640	410640	是吧
410640	412640	北京和上海加起来多少人啊
412640	413640	是吧
413640	415640	没本事你就在北京呆著
415640	416640	是吧
416640	417640	你有本事能养活自己
417640	419640	你当然就出来了 是吧
419640	421640	那么北京的隔离会什么样的
421640	422640	我告诉战友们
422640	424640	只会越来越坏
424640	426640	不可能有任何好的机会
426640	427640	绝对不可能
429640	430640	只要共产党在中国
430640	432640	就不可能有好的一天
434640	435640	就这么简单
435640	438640	你若不相信咱走著看
438640	439640	是吧
439640	442640	那么战友们最近出来的很多很多战友
442640	443640	我还是那句话
443640	445640	战友互相帮出来了
445640	448640	帮人家出来的人别老觉得好像欠人家多大声
448640	451640	像一副当爹的姿态 是吧
451640	452640	惧高临下
452640	453640	那你不是帮人
453640	454640	你是别有用心
454640	455640	你也有用心
455640	457640	你这种人也不用感谢你
457640	459640	凡是被救出来的
459640	461640	感恩戴德呀
461640	465640	就像好像认了什么一个亲兄弟姐妹呀
465640	467640	这种关系长不了
468640	470640	救我的人心地干净
470640	471640	别无他求
471640	473640	被救的人保持平在心
473640	475640	永远存在感恩
476640	478640	中国人的感情一用就过
478640	479640	是吧
479640	480640	然后呢
480640	482640	一有事就断
482640	483640	没有长远
483640	484640	急功近利
484640	487640	这种两种关系最好是保持永恒
487640	489640	保持著平淡的心
489640	491640	感恩的心
491640	493640	帮人者不要有他纷纷他想
493640	495640	你不是救了几个奴隶
495640	498640	也不要人家过年过节给你点几斤猪头肉送给你
498640	500640	你才高兴 是吧
500640	503640	被救的人你也别觉得欠多少
503640	505640	是吧 你就保持平常心
505640	507640	凡是我是绝对反对
507640	510640	以新中国联邦各农场民救人以后
510640	512640	好像大根大德似的
512640	513640	相当反对
513640	514640	这不允许
514640	516640	再一个各农场救人
516640	517640	不惜代价
517640	519640	不能有交易
519640	521640	不能有任何他要求
521640	522640	但凡你有了
522640	524640	只要知道肯定给你提出农场
524640	526640	最后我再告诉大家
526640	527640	所有各农场
527640	531640	任何和战友和新加入战友经济关系
531640	534640	如果他没有报备到联盟委员会
534640	536640	所有藏著的
536640	537640	或者是收钱的
537640	539640	或者是不告诉联盟委员会的
539640	541640	这一切都是违背了
541640	543640	联盟的宪章
543640	545640	那随时可以给你提出去
545640	547640	所有新加入的战友
547640	548640	还想加入农场战友
548640	550640	请跟各战友联系
550640	552640	一定和农场主联系上以后
552640	553640	不能单线联系
553640	557640	你必须保证有两到三个人保持联系
558640	560640	不是不相信
560640	562640	这是个基本的做人的常识
562640	563640	就像法律一样
563640	565640	不是把大家都当坏人
565640	567640	是防止坏人才有法律
567640	569640	建立这个规矩
569640	571640	就是让大家都不当坏人
571640	573640	就这么简单
573640	574640	是吧
574640	575640	所以兄弟姐妹们
575640	576640	各农场要记住
576640	578640	任何新战友加入
578640	579640	你们的农场
579640	581640	不能低于三个人知道
581640	582640	然后这个农场
582640	584640	如果在24小时
584640	586640	不能报这个联盟委员会的话
586640	587640	你最多给你48小时
587640	588640	你不报的话
588640	590640	你就属于有意不报
590640	592640	你必须报联盟委员会
592640	593640	有新战友加入了
593640	596640	让任何农场和战友发生的钱
596640	597640	当天不报
597640	599640	全视为你有意欺骗
600640	602640	因为这几天发生太多事情了
602640	604640	太多太多事情了
604640	608640	我相信随著整个共产党的大塔部
608640	610640	回到文化大革命的时代
610640	611640	很多人出来
611640	613640	而且出来的当中
613640	614640	发生这样的问题也正常
614640	616640	但是关键我们大家
616640	618640	守得住这个道德底线
618640	620640	微真不破的原则
620640	621640	这就是七哥的一个
621640	623640	今天直播的简单说法
623640	624640	加入的新战友
624640	626640	各农场和联盟报备制度
626640	628640	和各农场的所有资金来往
628640	630640	必须上联盟报备制度
631640	633640	包括你帮战友买币啊
633640	634640	代币啊
634640	636640	你只要让农场不让联盟委员会
636640	637640	这都是不可以的
637640	639640	然后帮助战友救出来
639640	640640	不要好像欠多少
640640	641640	谁不欠谁的
641640	644640	因为你新中国联盟干了就这事
644640	645640	你是战友就应该
646640	648640	最重要的希望你能保持永远的
648640	651640	这种感恩的互相的关系
651640	654640	另外一个在中国之外的
654640	655640	所有共产党的资产
655640	657640	有价证券黄金
657640	659640	各种股票各种资产
659640	661640	你现在三百年的菲菲是吧
661640	663640	代表上海实业
663640	665640	在洛杉矶旧金山
665640	667640	买了好几栋别墅是吧
667640	668640	不管你咋转
668640	669640	这房子给你封了
669640	670640	当然这是举例啊
670640	671640	菲菲没有啊
671640	673640	你们别开玩笑啊
673640	674640	比如说Masha
674640	677640	代表这个共产党的这个某市长
