start	end	text
0	3000	就那天路德跟着那几个人去
3000	7000	我觉得路德我一看这个人就不一样
7000	10000	知识之中我就觉得不一样
10000	12000	所以当时我说我这嘴巴有口吃啊
12000	15000	做不了啊这不行那不行的
15000	17000	我说你觉得你行啊
17000	19000	现在你才把他的口财的口吃
19000	21000	变成了绝大的优点
21000	22000	变成了个视野
22000	24000	变成了拯救人类的工具
24000	26000	你想想这什么力量
26000	27000	这不是吹牛的
27000	29000	很多人全都忘了
30000	31000	而且你看路德先生
31000	33000	昨天学生讲过的时候
33000	35000	take down CCB
35000	36000	就差你一个D
36000	37000	是吧
37000	38000	你看看路德先生
38000	39000	你看看那个现场
39000	40000	是吧
42000	44000	我就知道他来戴个花领带
44000	45000	穿个那衣裳
45000	46000	他一进屋
46000	49000	见完庙我马上他俩进去换衣服
49000	51000	结果他俩走了以后
51000	54000	又有几件衣服到了
54000	56000	都是从洛杉矶寄来的
56000	57000	给他选了的
57000	59000	实际上四个颜色
59000	60000	到了两个颜色
60000	62000	你看那个黑衬衣穿上
62000	63000	你看路德先生
63000	65000	你看他就是这方面是天才
65000	67000	他的衣服这不是天才
67000	68000	他说的很对
68000	70000	所以说你看路德先生
70000	71000	你看昨天上去
71000	72000	你先讲真实的自己
72000	73000	他看到战友
73000	74000	很多人不了解
74000	77000	路德对战友是绝对有感情的
77000	79000	他没感情他做不到今天
80000	81000	但是他被你说
81000	83000	一个又一个的伤害
83000	85000	他信一个害一个
85000	86000	信一个害一个
86000	89000	就职以后还这么忙流的
89000	91000	还有什么成水炎
91000	93000	那是什么发炎
93000	95000	还是潜力线炎我忘了
95000	97000	他信一个害一个
97000	100000	但是他对战友是有感情的
100000	101000	绝对不一样
112000	114000	昨天路德讲的真的是太好了
116000	144000	大家好大家好
144000	145000	大家好
145000	147000	兄弟姐们大家好
147000	148000	所以问好的战友们
148000	150000	我没给你们回复个抱歉
157000	159000	昨天本来是路德先生和科学家
159000	161000	还要回到18楼的
161000	163000	后来安保的人就说
163000	166000	发现楼下有十几个不明人物
167000	170000	然后就说怎么办
170000	171000	最好咱俩别回来
171000	173000	所以我就从这个
173000	176000	把他俩的东西送到世贸中心
176000	178000	然后从那里直接回家了
178000	181000	我们这个变化就是为了防敌
183000	186000	真的是特别特别的好
196000	200000	昨天国内的战友很难得翻墙
200000	203000	但是很多人是从头到尾是哭到
203000	205000	从头哭到尾
205000	207000	激动感动哭
207000	209000	从头哭到尾
209000	212000	昨天我们科学家这个出场
212000	215000	很多人都是期待着科学家的出场
215000	218000	我们在给他叫天使
218000	221000	但是我们昨天看到的是一个天使
221000	224000	回到了我们身边是一个小妹妹
224000	226000	就是他是个正常的人
226000	228000	他是英雄他也是人
228000	230000	他是一个小妹妹
230000	232000	昨天在这个演讲的时候
232000	234000	你看出来就是一个
234000	236000	非常这个愤青的
236000	238000	很天真的
238000	240000	很天真很自然的
240000	242000	一个小妹妹
242000	245000	发自肺腑的讲话
245000	247000	所以说班农先生说的好
247000	249000	从一年前的一个
249000	251000	勉偏害羞甚至胆小的
251000	254000	恐惧中的小女孩
254000	257000	变成了一个世界的英雄
257000	260000	而且媒体上的宠儿
260000	262000	政治的英雄拯救人类
262000	264000	这就是新中国联邦
264000	266000	能给人带来的别人没有的
266000	268000	这就是能带来的
268000	270000	对吧
270000	272000	大家昨天都看到了
275000	278000	我这一辈子就是恨那个
278000	279000	指盒
279000	281000	这么难受的
281000	283000	在哪都离不着他的
287000	289000	所以昨天
289000	291000	这个成功的
291000	293000	你看昨天我们长脑哥
293000	294000	是吧
294000	296000	这长脑哥了得这个家伙
296000	298000	了不得
298000	299000	真了不得
299000	301000	这个组织能力
301000	302000	而且他很少问我
302000	303000	他很少麻烦我
303000	305000	不是今天一日明天没有
305000	307000	就很留不得住
307000	309000	有那个男人的范儿
309000	311000	他拦着这个责任
311000	312000	他就不过
312000	313000	尽量不过添麻烦
313000	315000	咱俩吃饭
315000	316000	尽量不过添麻烦
316000	318000	咱俩中间通过两个
318000	321000	三到四次电话
321000	323000	他就做那么好
323000	326000	这个秘书长选对了
326000	328000	七哥有左眼的时候
328000	330000	七哥也有选对的时候
330000	332000	是吧
332000	333000	不简单
333000	334000	长脑哥
334000	336000	昨天你看我们的小司机
336000	338000	这小司机
338000	340000	还有我们在直播的主导
340000	342000	金克
342000	344000	Q妹
344000	345000	还有昨天
345000	346000	战场内小司机
346000	348000	我们的星星儿
348000	350000	还有杰尼
350000	352000	还有君
352000	354000	还有
354000	355000	我昨天还有
355000	357000	这是多少人了
357000	359000	昨天那么多
359000	360000	都是咱们老战友
360000	361000	都是上
361000	363000	你看那后台
363000	365000	真的是
365000	367000	不是感动那么简单
367000	370000	真不是感动那么简单
374000	377000	所以
377000	378000	兄弟姐妹们
378000	379000	昨天战友们
379000	381000	昨天国内的很多战友说
381000	382000	从头哭到尾
382000	383000	我是能感受到
383000	384000	这种感动
384000	385000	这种感动
385000	386000	感动
386000	387000	感动
387000	388000	感动
388000	389000	感动
389000	390000	感动
390000	391000	感动
391000	392000	感动
392000	393000	感动
393000	394000	感动
394000	395000	感动
395000	396000	感动
396000	397000	感动
397000	398000	感动
398000	399000	感动
399000	400000	感动
400000	401000	感动
401000	402000	感动
402000	403000	感动
403000	405000	我是能感受到的
405000	409000	我是明白你们说什么的
409000	421000	中国人从来没有像现在那样
421000	424000	他每个人都能做的可能都会精彩
433000	458000	我们科学家昨天看到了一个真实的可爱的科学家
458000	462000	我们齐凡慎的主席爱死我们科学家了
462000	465000	特别的 因为最简单的
465000	469000	他说一个女人有这样的勇敢
469000	471000	一个女人有这样的真性情
471000	474000	昨天她的眼泪让多少女人流下了泪
474000	478000	就真实的一个科学家 真实的严离梦
478000	481000	她是个女人 她是个真女人
481000	483000	而且这个女人很真实
483000	485000	她就是不装 她不做作
485000	487000	而且这个人呢
487000	489000	他很有那个
489000	493000	他很聪明 反应很快
499000	502000	你像昨天那个他先生就看YouTube
502000	505000	法治基金的YouTube
505000	509000	他不懂了解 大家你们可以知道
509000	511000	这个他先生挺傻的
511000	512000	法治基金YouTube
512000	514000	法治基金YouTube 你看谁的YouTube
514000	517000	他都留有痕迹的了
517000	519000	你马屁的YouTube 看过谁YouTube
519000	521000	你都能留下来
521000	523000	每个YouTube账号都可以看谁在看你
523000	525000	都这么简单
525000	526000	他以为很神奇
526000	527000	他不懂中文的
527000	533000	他不知道法治基金是英文的 即时翻译的
533000	539000	他在保鲜方面很单纯
539000	541000	你看没有这个YouTube账号
541000	543000	你有YouTube账号 你们都知道
543000	545000	谁看你了 谁看过你
545000	547000	你都可以查得出来的嘛 是吧
547000	550000	所以说都很知道谁在看 是吧
550000	552000	除非你就是个假账号
552000	554000	咱这假账号 你要用你用过的手机
554000	558000	你联系你email的都能显示出来
558000	560000	多简单的事啊
560000	564000	他对病毒了解 他对这个不了解
564000	566000	但是他昨天的演讲
566000	569000	还有他曾经做过的事情
569000	571000	一年啊 我们一年没见过面
571000	573000	所以今天我到大使馆来
573000	576000	好多人说你听说我们俩一年都没见过面
576000	580000	从来没见过面 每个人都不可思议
580000	583000	都在问我为什么
583000	584000	大家很清楚为什么
584000	587000	就是让他保持一个独立的角色去爆料
597000	603000	所以 昨天展示
603000	608000	我当时很想很多问战友的话
608000	614000	我昨天跟晚上一直到5点多吧
614000	616000	跟国内战友联系啊
616000	619000	我就问了国内体制内的战友
619000	622000	假如说你到70多岁到80岁的时候
622000	625000	像朱利安尼先生一样
625000	628000	而且是前列腺癌
628000	631000	人家是这个很严重的
631000	632000	是吧
632000	635000	这样的老人家 这样的身份
635000	639000	相当于中国北京市市委书记这个角色
639000	641000	建设北京
641000	643000	然后能到一个这样的场合
643000	646000	能坚持到最后
646000	649000	到10点到11点了才走
649000	652000	而且上台演讲
652000	655000	能演讲那么长时间 你撑得住吗
655000	658000	你告诉我战友你们谁能做得到
658000	661000	有几个能做得到的战友 你就告诉我
661000	666000	有几个能做得到的
666000	669000	对不对啊
669000	670000	有几个能做得到的
670000	673000	这就是这个男人的不同
673000	675000	现在的年轻小孩
675000	678000	30岁中国的年轻孩子
678000	681000	38岁以前的男女
681000	686000	30%到45%没有性生活
686000	689000	你想想这多可怕
689000	691000	这是一个
691000	693000	另外一个就是一过45岁的男人
693000	695000	不但没有性生活了
695000	697000	油也虚 光想也不行了
697000	699000	而且一到啥就困
699000	701000	疲劳 虚脱状态
701000	704000	体能 心态全完了
704000	706000	大家能做到吗
706000	707000	这是一个
707000	711000	第二个 昨天我们的主持人Ada
711000	715000	Ada的母亲全家都是
715000	717000	咱们爆料中的知识
717000	719000	母亲素质极高 气质
719000	721000	绝对气质大美女
721000	724000	你看Ada昨天的表现
724000	726000	简直是代表中国人 是吧
726000	728000	我们的美国戴维
728000	730000	你看我们的美国戴维
730000	733000	你看那个感性
733000	735000	一点官僚
735000	738000	一点专业的做作都没有
738000	740000	你看看那个感觉
740000	743000	然后你看看多少中国主持人
743000	746000	你能做到这一点吗
746000	749000	多少中国主持人你能像Ada一样
749000	751000	带着感情和戴维
751000	753000	就能做出这么高的水平
753000	755000	第一次上去就这么高
755000	758000	而且是20个小时前才决定
758000	760000	让他作为主播
763000	765000	还讲那样好的英文
765000	767000	那么好的英文
771000	774000	是吧 你能做到吗
774000	776000	朱利安尼是一个男人
776000	780000	真的是 真是个男人的标准
780000	782000	那么另外大家想想
782000	785000	你看昨天我们在现场
785000	786000	看到班农先生
786000	789000	早晨八九点钟一直到晚上
789000	791000	一直老头就这么折腾
791000	792000	我才一愣着头
792000	795000	他是发现病毒期就没理过发
795000	797000	一直到现在
797000	799000	他跟我说 我不灭共产党会理发
799000	802000	我说你还是把头发理了去吧
804000	805000	所以你看到老头
805000	807000	班农先生这个战斗力
807000	810000	这没办法 一天两集
810000	813000	每天两集
813000	815000	而且是就这么战斗
815000	817000	这么大的压力
817000	818000	没办法
820000	821000	不但如此
821000	822000	大家你可以看到
822000	823000	你看Rathi呀
823000	825000	Natalie呀
825000	827000	你看昨天皮特达瓦罗的
827000	829000	那话讲的多直接
829000	831000	弗林将军
831000	834000	还有我们塞林先生 塞林将军
834000	836000	塞林将军因为是不在美国
836000	837000	他在外地
837000	838000	我不能说他地方
838000	840000	不能告诉别人
846000	848000	我跟任何人联系
848000	850000	基本上从来不直接联系
850000	853000	我必须通过中间人
