start	end	text
0	5400	我第一部分就发出去了 发完以后再来录第二部分
5400	8500	我想告诉大家的是 达拉斯这个地方
8500	14000	本来是中共想尽一切办法向美方去北京去上海
14000	18000	甚至不要脸的要求在香港见面
18000	22500	然后不行第三国欧洲 美方全部拒绝
22500	25500	最后就选了个达拉斯 就像两军开战之前
25500	28000	站在中间的位置 咱们说一下
28000	30000	而且达拉斯千万不要忘了
30000	34500	达拉斯有重要的军事基地 不是开玩笑的
34500	38500	最后是中方一切这样的安排全部拒绝
38500	40500	最后是在这么简陋的地方
40500	45500	几乎等同于双方在宣战前的一次沟通 警告
45500	51000	这是两国两邦之间必然有的礼仪和形式
51000	54000	为什么知道吗 就是病毒
54000	57000	现在这个病毒把所有人全吓傻了
57000	60000	越来越多人都知道 这肯定是生化病毒
60000	61500	这肯定是共产党麻了
61500	66500	肯定是共产党把这个有系统有计划的攻击了全世界
66500	70500	让美国任何人说这事没事是不可能的
70500	74500	这次一定是中共各种渠道
74500	79500	对美国拜登政府进行巨大的个人和政治上的威胁
79500	84000	然后进行勾兑 很多很多渠道 很多很多很多
84000	87000	那么这些渠道沟通完都得跟屁
87000	92000	这次完以后回来美国政治会大地震 军事会大地震
92000	96000	很有可能 超过五十的可能在见面前
96000	102000	这个冠状病毒报告 香港人权白皮书报告会出来
102000	108000	这个报告里就包含了对中共最后的同理战争和惩罚措施
108000	111000	自动认罪 自动承担责任 拉丘岛
111000	115000	不自动认罪 不自动认责任 干 就这么简单
115000	118000	这个回来的结果就是这个
118000	122000	都不用想 兄弟姐妹们 它一定是这个结果
122000	125000	没有人能挡得了 没有人能阻止得了
125000	128000	那么反过来说了 兄弟姐妹们
128000	134000	在这种情况下 以毒灭共已经是大势所趋
134000	138000	你觉得美国 欧洲跟中共还有经济协议吗?
138000	141000	任何经济协议都是共产党的
141000	145000	最后对美方和西方的一个借口
145000	150000	用经济来赎罪 以钱买罪
150000	152000	美国 欧洲可不可能上当?
152000	156000	美国和欧洲有可能因为内部的政治需要
156000	159000	暂时性的答应它
159000	162000	但最终这场较量
162000	165000	或者要么共产党承担责任
165000	168000	全部承担责任 把十四亿中国人全卖了
168000	171000	退给十四亿中国人去 把中国人当奴隶
171000	174000	给你们当奴隶去 要么就是开战
174000	177000	没有任何低算条件
177000	180000	但我相信到最后 共产党既不会认输
180000	184000	拱手让出十四亿奴隶去
184000	188000	更不会所有的拿钱买罪赎罪
188000	191000	那只有开战
191000	194000	这就是一个现在的形势
194000	197000	咱傻的不否了 走著看
197000	200000	整个世界正在局变中
200000	203000	我再说一遍 很多战友关于我的经济
203000	206000	美国的经济一定往下坠
206000	209000	整个股市是崩盘式的
209000	212000	这是为什么最近看到大宗贸易 比特币
212000	215000	这就为什么咱们G系列
215000	218000	在世界上最好的步伐上
218000	221000	太早了也不行 太晚了也不行
221000	224000	咱是跟著世界经济起起伏伏上来的
224000	227000	未来你会感受到
227000	230000	这就是你七哥天生的智慧
230000	233000	从穷人草荷站出来的结果
233000	236000	从战争中得出的经验
236000	239000	而不是从书上从口炮里弄出来的
239000	242000	昨天关于直播当中 很多战友说
242000	245000	我看到很多人做的节目
245000	248000	这个节目当中大家能看到
248000	251000	做的最好的是加拿大农场
251000	254000	小Sara说的最好的 关于母亲 干了
254000	257000	很有准备 很走心
257000	260000	很走脑 做的非常好
260000	263000	昨天这些视频做的很好
263000	266000	但是昨天的美东农场和新西兰做的是最差的
266000	269000	就是真的是共产党当年干事的时候
270000	273000	跟谁聊天 聊聊花花草草的
273000	276000	就是对付你 昨天的视频就是花花草草
276000	279000	但是很多其他战友做的 你看上天造灭一种
279000	282000	做的太好了 在国内影响太大了
282000	285000	很多国内战友问我 七哥能不能再具体说说
285000	288000	所有的家国 人权
288000	291000	还有一个生命
291000	294000	根本天地的关系
294000	297000	就像七哥说的说的
297000	300000	实际上非常简单
300000	303000	当你谈家国 当你谈人权 当你谈生命
303000	306000	根本天地的时候
306000	309000	地天吧 谈地天的时候
309000	312000	说这个字是什么 家人生根地
312000	315000	另外一个什么 国权命本天
315000	318000	家人生根地 国权命本天
321000	324000	家国 人权
324000	327000	生命 根本 地天
327000	330000	如果你连人都没当成
330000	333000	就是你爸妈连生命都没给你
333000	336000	你拿来的生 拿来的命
336000	339000	你有生你的人 你才有命
339000	342000	没有生你的人 哪有命啊
342000	345000	那人权 你首先得是人了
345000	348000	你才有人权 你不是人了
348000	351000	有人权吗
351000	354000	人权没有根 哪有本啊
354000	357000	就没有你爸妈了 你爸妈这个人对你的恨
357000	360000	对你的疼天诅咒你
360000	363000	你能身体健康吗 你命能好吗
363000	366000	你运气能好吗
366000	369000	为啥说父亲是天 母亲是地
369000	372000	天照著你呢 你安全呢
372000	375000	祝福你 这是一种DNA
375000	378000	几代大自然的规律
378000	381000	在任何情况下都接著你呢
381000	384000	这为啥说家人生根地
384000	387000	国权命本天呢
387000	390000	国家的权利
390000	393000	首先是建立人民
393000	396000	人民是这个国家的根本
396000	399000	是由真正的一个个母亲养育了孩子
399000	402000	孩子生命得到了保证
402000	405000	才成就了国家
405000	408000	是由一个个的父亲
408000	411000	和所有的母亲的合作
411000	414000	生出了根 生出了生命
414000	417000	才有了人 有了人才有了家
417000	420000	家才能国 人才能有权
420000	423000	没人你叫什么人权啊
423000	426000	你首先得是人 你得感谢叫你成人那个人
426000	429000	那叫父母
429000	432000	有了人权 你是人了 你才有了生命
432000	435000	生命的时候你才能有家
435000	438000	有了家了你才有根
438000	441000	有了根了你才有父亲照照你
441000	444000	你才好
444000	447000	这就是家人生根地
447000	450000	国权命本天
450000	453000	这是多重要的事儿 兄弟姐妹们
453000	456000	这还有论吗 当然这不包括
456000	459000	有些父母是很过分的
459000	462000	不知道怎么回事儿当单身母亲
462000	465000	那是你的选择
465000	468000	你不要把这个给怪这个孩子去
468000	471000	我认为任何一个父母
471000	474000	我觉得绝大多数父母都是希望儿女好的
474000	477000	咱不能说百分之百
477000	480000	但有些精神不正常
480000	483000	有些生理不正常
483000	486000	和有些想法不正常的人
487000	490000	但是这是很少很少的
490000	493000	你不能用那极少的人的割裂
493000	496000	否定天下所有的母亲和所有的父亲
496000	499000	九十几的父母都是像我们想像的
499000	502000	为了儿女不惜一切的
502000	505000	而且是他给你带来了一个家人生根地
505000	508000	国权命本天
508000	511000	这是一个根本的
