start	end	text
0	6000	我这个快没电了
6000	10000	这个快没电了天哪
10000	14000	拍的可没电 这帮小孩简直是了
14000	18000	声音怎么样啊声音怎么样
30000	34000	好
34000	38000	好
38000	42000	好
42000	46000	好
46000	50000	好
50000	54000	好
54000	58000	好
58000	62000	好
62000	66000	好
66000	70000	好
70000	74000	好
74000	78000	好
78000	82000	好
82000	86000	好
86000	90000	中了
98000	100000	我在试技术直播呢
100000	104000	试直播呢
116000	120000	好
120000	124000	好
124000	128000	好
128000	132000	好
132000	136000	好
136000	140000	好
140000	144000	好
144000	148000	好
148000	152000	好
152000	156000	好
156000	160000	好
160000	164000	好
164000	168000	好
168000	172000	好
172000	176000	好
176000	180000	好
180000	184000	好
184000	188000	好
188000	192000	好
192000	196000	我收到了我收到了我再试试直播呢在这
196000	200000	我收到了我再试试直播呢在这
200000	204000	我收到了我再试试直播呢在这
204000	208000	我收到了我再试试直播呢在这
208000	212000	我收到了我再试试直播呢在 ..."
212000	216000	我收到了我再试试直播呢在这
216000	220000	我收到了我再试试直播呢在这
220000	224000	我收到了我再试试直播呢在这
224000	228000	我收到了我再试试直播呢在这
258000	287000	這個現在在試直播啊,兄弟姐妹們,這個別在這兒浪費你們時間,我在試直播,試直播啊。
288000	310000	不得不換號,GTV觀看人數是怎麼計算的,如果大腦來說我們觀看人數少,不知道咋對的。
310000	327000	你還操這錢心吶,他說的話你還上心吶,我這位Wi-Fi沒連上這個iPad。
327000	335000	兄弟姐妹們,咱等著會兒試直播的啊,別耽誤你們時間,別耽誤你們時間,這一會兒就上了,就一萬多了。
335000	345000	我們事實上觀看的人數一定是多於我們現在顯示的人數,這點是毋庸置疑的,如果不相信就不要看唄,這不很簡單嘛。
345000	355000	我們幹嘛要回答一些謊話連篇的人吶,連自己的兒女都不養,連自己的爹媽都不要。
355000	364000	你們怎麼相信這種話,相信這種話你覺得回應這種話你不上當了嗎,不就是要轉移你的視線嗎。
364000	377000	四年來又是主啊,又是耶穌啊,天天滅供,又是哭又是鬧,最後他搞什麼,搞西攤去了,西攤炎,搞雙休去了,這話你也要回答他。
377000	383000	人家說你是男的是女的,你要脫褲子看看嗎,對不對啊,這是個起碼的常識。
387000	397000	共產黨要的就是啊,要的就是現在七哥王定剛是不是被趕出去了,我希望先別趕出去呢,他不是賴在那嗎,就他賴著嘛。
397000	423000	你這個在美國這個國家啊,只要你有賴過,你耍過賴皮,你耍過流氓,這個歷史一旦被法庭被認證了,像什麼說謠言是吧,像這個錄大腦袋,錄騙子,他只要撒過謊,只要能證實啊,在他回中國之前,回廣東之前,回香港之前,他沒有任何回擊的餘地。
424000	437000	大家著什麼急啊,是不是,他在那塊住著每天還得付錢,是吧,他在那塊住著能舒服了嗎,對吧,那些傢俱都毀差不多了,索賠,那傢俱比房子還值錢。
442000	450000	咱現在不是直播啊,是直播,大家別浪費時間,特別國內的戰友你們該睡覺,這個時間點上你們千萬別影響你們睡覺啊。
453000	469000	所以說,兄弟姐妹們,千萬千萬不要跟著偽類們,還這些所謂親民人們,共產黨的腳步走,那不就傻了嗎。
475000	479000	哇,中央公園的景觀太漂亮了,太漂亮了。
483000	493000	把這個往上扒一扒,這旗子也給我整歪歪了。
513000	531000	反共美國大兵官方號,幾個,反共美國大兵官方號,讓領導先走。
532000	543000	水電費不要幫他付了,水電費是他自己付的,他自己付的,這是有什麼說什麼,紅豔生生啊。
543000	554000	關塔納摩,關塔納摩,關他媽的摩。
554000	560000	替替螞蟻,七哥還沒有聊我。
560000	564000	奧利弗,七哥念念念我念我念我啊。
564000	566000	霹靂大俠DC。
570000	572000	Maria,Maria。
572000	576000	七喜,七喜很久不念我了,七喜,七喜很久不念我了。
576000	579000	七喜,相機過熱啊。
579000	582000	內網,向往自由的東耳。
584000	591000	現在大家覺得這個音,用這個麥克風的時候,音頻結果怎麼樣?
591000	616000	這幫傢伙真是太不靠譜,這小孩太不靠譜,這孩子太不靠譜了。
621000	629000	這些孩子怎麼就這麼不靠譜呢?
