start	end	text
1000	7600	哎呀 尊敬的战友们好 现在的1月5号战友们
7600	13400	真快呀 明天的1月6号了 哇塞 这真够乱的
13400	19000	这个北京 咱们很多战友突然间从昨天找不著了
19000	23800	后来我发现咋回事啊 咱们有些战友手机不能联系
23800	26600	北京出现了紧急情况
26800	32800	昨天大批的军队 秘密的乔装打叛进入北京
32800	38400	从南部 西部 东南角 东北角 北部 西北角
38400	44000	七个角 七个部分 大量的军队乔装进入北京
44000	47400	发生啥事了 咋回事啊
47400	50600	然后我今天 大家要看到啊
50600	55200	美国 东西部 南北部 各帮派都在叫力
55200	60600	这个焦之压 焦之压 现在是背叛 反背叛
60600	66000	然后是忠诚又忠诚 拉帮又截火 哎呦 热闹的不得了了
66000	72000	还有这个华尔街 又不想踢出中国的三大电信公司了
72000	77600	现在是鳄鱼上岸了 遭著地的主人
77600	83400	现在在旁边 咬著手指甲 在那边看热闹了
83400	88800	进入全世界 进入前所未有的乱战 群战的准备
88800	94600	这个状态 美国大选真是到了最滑稽的时刻
94600	96600	很有意思 很有意思
96600	101600	但是只有爆料革命这边不好 大家都懂的
101600	104200	这个国内今天有人跟我发信息
105200	107800	郭先生 咱不能把事搞得了啊
107800	111200	还有那个路柏庆 让他就别说了 别说了
111200	114400	我们还有空间 咱们都留著空间的
114400	118400	意思 还给我们留面子 还可以讲和
118400	121000	但是路德别讲 我都不知道路德讲啥
121000	122800	后来我赶快发现 我路德你讲啥呀
122800	125600	路德跟我说一说 我说你这真是啊
125600	129000	你惹麻烦 七哥给你背锅 我真不知道他讲啥
129000	130600	我真不知道
130600	134800	当然了 后来我就知道路德是哪方面来的渠道
134800	138000	有战友出卖七哥 把这个情报给路德
138000	141000	不给我 不像话
141000	146000	但是呢 国内的金融 我就不多说了
146000	150000	经济 大家我可以告诉大家一个最简单的数字
150000	152200	统计局的战友告诉我说
152200	156800	他说七哥可能你根本 我跟你说你都不相信
156800	164600	他说过去的四个月 任何样往下跌幅都是拦腰斩
164600	170400	银行的滥账在过去的四十基础上又拦腰斩
170400	176000	战友们 现在大概在国内的银行滥账65到70左右
176000	178600	说房地产要倒一切天完
178600	184000	房地产不倒一切就是慢点完
184000	186800	说现在整个中南坑乱得是一锅粥
186800	190000	说两小时以前下个命令要这个数据
190000	195400	两小时以后打电话要用这个数据
195400	197800	再过两小时 说大脑袋说了
197800	200400	这数据不行 得改这数据
200400	202000	大家无所事成
202000	208600	这擀面杖子老用啊 就慌了 不晓得咋用了
208600	213600	但是爆料革命不需要中国人活在水深火热之中
213600	218200	但是爆料革命按习怀 按高雄 按演艺
218200	220200	共产党乱不就砸了几回吧
222200	230600	美国总统大选越滑稽 越能分出谁是蓬 谁是友啊
232200	234200	对不对 兄弟姐妹们
236000	238400	BOOM BOOM
238600	240600	呵呵呵
241600	243000	哎呀 我们
243000	245800	美国总统大选让我们知道在美国
245800	248000	谁可以打交道 谁可以不打交道
248000	250600	这个价值大了 缺了
252200	254400	共产党那点本事
254400	258400	他不知道天意 真的站在爆料革命这一个
258400	261200	这么多人突然有病了
261200	263800	这么多人被弄死了
263800	265800	啊 现在真是乱了
266000	268400	听说上海现在啊 蠢蠢欲动啊
269600	274800	现在有些人想当螳螂 噗 蚕 黄雀在后
274800	276800	黄雀不一定是赢家
276800	278400	我昨天我推荐以后
278400	282400	战友们 螳螂噗蛇 螳螂噗老鼠 螳螂噗鸟
282400	285000	战友们就找到了 战友们你们真厉害
286400	289200	不是螳臂挡车 也不是螳螂挡臂
289200	290800	螳螂还得吃蛇
291400	294800	谁鼠蛇的呀 谁鼠蛇的呀
295000	298800	谁鼠蛇的呀 七哥让你们看得明白意思
302000	304600	哎呀 真舒服 千万要锻炼
304600	308200	你看看昨天川普总统 74岁了
308200	312600	在娇治亚 站在那儿 啪啪的元气十足
312600	314000	搅了80分钟
315400	318600	你说这种政治家 这不是天才 这是什么
320200	321800	80分钟啊
321800	325200	刚刚那天 然后坐著空军一号 陆军一号
325200	328200	啪啪啪的直升机走了 厉害了
329000	331400	这就是人家美国 中国想学你
331400	333200	觉得很容易 你学学啊
333200	336000	80分钟 直升机已经火化完了
336000	337800	进火葬场了 火化完了都
338800	341400	80分钟 都是假改变仗
341400	344800	后面要放个直升机 我估计一飞直接就下来了
345400	348800	觉得很厉害 就像中国人看的外国品牌
348800	351800	时尚一样 哎这多容易啊 你做做 你做做
351800	352800	累死你
353800	357600	几千年的五千年的文明历史了 你做成啥了
357600	361600	地球几十亿年了呢 十几亿年的地球了
361600	364200	出了多少人类呀 是不是
364200	369000	它不是那么简单的 管那异议小 大头症
369800	373400	现在美国华尔街 现在又提共产党洗地呢
373400	376600	你放心 战友们 华尔街第一个被整治
377600	381600	华尔街被整治 所谓的这些媒体大咖第一个被整治
381600	382600	咱走著看
384600	388000	他们这种博弈 唯一的受益者就是爆料革命
388000	391600	新中国联盟战友们 不服了
393000	396600	今天晚上 或者明天 明天一天直播
396600	399200	明天上午9点 9点直播
399200	401200	上午这里的9点直播开始
401600	405200	由卡丽熙 小皮匠 还有木兰 秘密翻译组
405800	407800	跟全球的战友连线直播
408400	412200	主要是解答美国明天1月6号的辩论
412800	417000	有1%的可能和5%的可能 迅速结束
417800	419800	不结束以后就要讨论到20个小时
420800	423400	这20个小时之后就到了7号上
424000	427400	这也不一定是完结 也不一定是完结
427800	430600	看上去会是完结 最终就是1月20号
431600	434000	但是明天很重要 很重要 好不好
434200	437000	战友们 一切都是刚刚开始
437400	438400	再见
