start	end	text
0	2000	尊敬的战友们好啊
2000	4000	12月30号
6000	8000	哎呀 这两天啊
8000	10000	这个事儿太多了
10000	12000	这个今天抱歉上午
12000	14000	这一堆的事情刚把会开完
14000	16000	这个今天接下来下午
16000	18000	还有好多事情
18000	20000	这个都是国内的事情
20000	22000	真是很惊讶啊
22000	24000	就是现在这个美国有了
24000	26000	这个第二例
26000	28000	我往这儿
28000	30000	第二例的这个
30000	32000	新的并低劣新型病毒
32000	34000	已经被发现了
34000	36000	这是第二个国家啊
36000	38000	继这个英国之后
38000	40000	我们这一年内
40000	42000	我们所有的对病毒的
42000	44000	整个的说法啊
44000	46000	和情报百分之百准确
48000	50000	你说什么人什么样的情报机构
50000	52000	全人类
52000	54000	像我们爆料革命新中国联邦
54000	56000	一样路德访谈
56000	58000	把所有的人类上
58000	60000	最大的威胁共产党病毒
60000	62000	什么时候发生
62000	64000	将会发生什么
64000	66000	第二种病毒我们这颜博士
66000	68000	我们的天使科学家
68000	70000	准确的告诉大家
70000	72000	但是人类一年来
72000	74000	在等待著CCP病毒的
74000	76000	扼杀全球处在
76000	78000	官僚之中
78000	80000	悲剧啊
80000	82000	听说这John Paulson
82000	84000	英国又要演讲演讲个屁用啊
84000	86000	在这点上真的是太可怕了啊
86000	88000	更让人可怕的事情
88000	90000	每次欧洲
90000	92000	英国西方世界
92000	94000	在面对病毒
94000	96000	和病情啊
96000	98000	爆发死亡人数增加的时候
100000	102000	来自于病原族的初始国
102000	104000	中共我们的祖国
104000	106000	共产党的
106000	108000	整个的视频和媒体
108000	110000	一片欢呼
110000	112000	从美国爆出来
112000	114000	美国爆出来有第一类病毒
114000	116000	第二种病毒以后
116000	118000	检查出来
118000	120000	新病毒
120000	122000	整个中共国被洗脑的老百姓
122000	124000	一片欢呼之声
124000	126000	不管是有钱还是没钱的
126000	128000	有饭吃没有要饭吃都这样
128000	130000	就共产党
130000	132000	这八年这五六年
132000	134000	成功的把中国人洗脑
136000	138000	把中国人
138000	140000	和美国和全世界对抗
140000	142000	甚至走向
142000	144000	更加危险的种族
146000	148000	种族色别
148000	150000	的皮肤色别
150000	152000	宗教的仇恨
152000	154000	前所未有
154000	156000	中国人知道不知道
156000	158000	这意味著什么
158000	160000	意味著你跟在全世界为敌
160000	162000	付出代价是你的孩子
162000	164000	海外的华人
164000	166000	欧洲的
166000	168000	在美国的华人
168000	170000	现在有大量的人转发
170000	172000	从昨天晚上到现在很多美国朋友
172000	174000	欧洲朋友说你们中国人
174000	176000	待在我们国家为什么那么
176000	178000	恨我们我说他们被
178000	180000	洗脑了他们为什么洗脑
180000	182000	他都不能死他们还那么开心
186000	188000	这个问题我也想
188000	190000	问他们就是共产主义
190000	192000	吗
192000	194000	现在只有爆料革命
194000	196000	心路联盟在呼吁
196000	198000	不要给全世界建立
198000	200000	这么大的仇恨
200000	202000	你的子孙你的子女
202000	204000	承受不起
204000	206000	中华民族承受不起
208000	210000	但是你看著悲剧呀
210000	212000	在病毒面前
212000	214000	欺民贼
214000	216000	30年伸手捐款
216000	218000	捐不捐款党
218000	220000	每一人站出来为
220000	222000	病毒来说句公道话
222000	224000	这病毒来自
224000	226000	咱中国知道吗
226000	228000	人家染上病
228000	230000	你咋就这么开心呢
232000	234000	人家没追究你
234000	236000	没跟你战争
236000	238000	没歧视你华人
238000	240000	你还希望人家
240000	242000	死越多人越好
242000	244000	这是何等的荒唐啊
246000	248000	这还是人吗
248000	250000	在国内的人
250000	252000	以为病毒致死人家不死自己
252000	254000	你不知道下一个可能就是你
256000	258000	所以说亲爱的兄弟姐妹们
258000	260000	共产党的病毒
260000	262000	和对中国人的洗脑
262000	264000	和中国人对真
264000	266000	假
266000	268000	善恶的判断能力
268000	270000	已经丧失殆尽
270000	272000	起码的人性已经没了
274000	276000	新中国联盟爆料革命
276000	278000	任中道远
278000	280000	我们能做到的
280000	282000	和我们已经做到的
282000	284000	从来没人做到过
284000	286000	也没有人去做
286000	288000	爆料革命的所有兄弟姐妹战友们
288000	290000	不要因此放弃
290000	292000	气馁
292000	294000	坏人会层出不穷
294000	296000	但好人永远比坏人多
296000	298000	最后正义一定
298000	300000	战胜邪恶
300000	302000	我深信不疑
302000	304000	包括爆料革命出现著一个个的荒唐的
304000	306000	滑稽的事情
306000	308000	最终上天真的会让他们
308000	310000	他们的面目他们会真正的受到惩罚
312000	314000	什么叫对错
314000	316000	你把手收到人家腰包里面去
316000	318000	无偿的获得别人的财富
318000	320000	你是错的
320000	322000	让人家为你不劳而
322000	324000	无力而动
324000	326000	你不劳而获
326000	328000	这是错的
328000	330000	无忧无悟的伤害别人
330000	332000	你是错的
332000	334000	说假话
334000	336000	假信仰假思想
336000	338000	假真情假人性
338000	340000	那是错的
340000	342000	拉仇恨
342000	344000	传播仇恨
344000	346000	传播疾病那是错的
346000	348000	这点常识
348000	350000	战友们知道吗
350000	352000	谁说的话是真话假话
352000	354000	你总该判断得了吧
354000	356000	谁在拉仇恨
356000	358000	谁把手收到腰包你这能判断得了吧
358000	360000	共产党在海外的
360000	362000	在全世界的洗脑
362000	364000	和这种病毒害的是谁
364000	366000	害的是我们中国人
366000	368000	在这个问题上没有高低
368000	370000	不分男女不分老幼
370000	372000	人家恨的时候
372000	374000	不会因为你是男的女的怎么恨你
374000	376000	是中国人家都恨
378000	380000	所以说兄弟姐妹们
380000	382000	危险至极啊
382000	384000	危险至极啊兄弟姐妹们
384000	386000	当一个人
386000	388000	对一个基本的
388000	390000	真假善恶
390000	392000	缺失判断力的时候
392000	394000	一定是早晚的问题
394000	396000	一定到你身上
396000	398000	现在你看看这个世界多荒唐
398000	400000	中国现在大陆缺粮
400000	402000	银行钱起不出来
402000	404000	还一片歌颂伟大的党好
404000	406000	党给你啥啦
406000	408000	党不生产财富
408000	410000	党不生产任何的
410000	412000	给你能吃的粮食
412000	414000	都是你自己劳动
414000	416000	创造出来的
416000	418000	你感谢党
418000	420000	在全世界都恨中国人民的时候
420000	422000	感谢党
422000	424000	岂有此理啊战友们
424000	426000	不要再被无知
426000	428000	和愚昧洗脑
428000	430000	毁掉你这一生
430000	432000	再毁掉你的子子孙孙
432000	434000	这是起码的常识
434000	436000	兄弟姐妹们
436000	438000	不要再执迷不悟
438000	440000	犯下你无法承受的错误了
440000	442000	兄弟姐妹们
