start	end	text
0	12540	7月3號 尊敬的戰友們好 你們見識了嗎?
12540	17400	傳播CCP病毒 香港危機真相了嗎?
17900	20900	耶!哎呀 完了 完了
27720	29920	兄弟們 大家好 7月3號
30360	32400	別忘了減神 別忘了減神啊
33760	36000	哎呀 我的媽呀 這兩天夠熱鬧的
36600	39840	這共產黨的百年名單之後 這發生的事兒太多了
39840	41520	太多了 太多了 太多了
42280	45600	這個我都不想爆料說實話
46240	47920	這個我再爆料 我覺得
48280	52600	我覺得共產黨就會找到我們很多很多的
53360	54600	更多的事兒
55840	58040	他瞭解我們 更多的越害怕
58600	60360	還不想讓他那麼害怕
62120	64400	哎呀 比如說啊 大家你們知道嗎?
65800	69160	這北朝鮮就為了這個百年大慶啊
69600	72440	跟共產黨翻了臉了 翻大臉了
73440	75840	甚至要打官司 打到國際法庭去
76400	78240	要打到國際法庭去 北朝鮮
78840	81280	金正恩昏不瀝 是吧
82040	84720	答應送的糧食 送的油都到了
86000	87440	但是金正恩很不高興
87960	90280	據說這糧食啊 質量不太好
91440	94520	所以說呢 提出了大量索賠
94680	99520	要多少錢呢?80億美元 8個billion
100000	102840	為啥呢?為了可能在上海
103640	106840	還有鴨綠江發生的兩件命案
108280	109960	當然這共產黨又惱火了
109960	111800	他老敲詐我呀 是不是
112160	114200	你這老敲詐我呀 不行啊 不認
115280	117520	後事兒很嚴重
118760	120200	咋處理呀?走著看
120760	122040	第二個 聽說普京啊
122360	124120	本來普京是準備好了
124960	128800	普京 金正恩 伊朗
130400	132280	還有中東某兩國
133880	137680	非洲某兩國 聽說是12個國家都去
138360	140880	包括白俄羅斯 白納羅斯
141280	143760	到最後 大家知道了
144200	147720	普京不但不去 還不能代表國家來貢獻
148640	149960	連派代表都不行
150400	152200	最後就是個人來個視頻
153080	154560	個人來個視頻 恭喜一下
155480	156600	但是呢 前提是
156920	159320	把今年的所有的氣錢
160160	162320	顧個價 先把現金給付了
162720	164360	俄羅斯就有點錢緊張
164840	166800	說啥就怕你別那麼死了
167000	169080	你死之前把錢先付了 是吧
170200	171400	結果俄羅斯那一個
172120	174320	金正恩就來了 80億美元
175200	176600	又出點事兒找茬子
177240	180920	然後那其他十幾個國家兄弟根本都不來
182680	185120	有人騙了點錢 有人騙了點東西
185880	187640	然後現在要搞的在聯合國
187640	190880	要搞發起幾個所謂的反美呀
191480	193200	反帝國壟斷吶
194320	196800	反著就是國際政治恐怖主義呀
197600	200520	打破美國的邪惡聯盟呀
201440	202360	都在搞這事兒
204920	207000	這個情況說啥呀 共產黨瘋了
208120	208800	就瘋了
209880	211560	就像那海外欺民賊一樣
212200	215720	你說你這個博訊韋石你拿吳征的錢
216440	218520	你是共產黨 他說郭文貴你是騙的
219920	222280	你說這些欺民賊騙了30年
222400	223600	他說郭文貴你沒錢
225280	227800	你說這海外欺民賊從來不罵共產黨
228320	229880	選幫大幫忙 不支持香港
230840	232600	他說什麼 中國人需要穩定
233720	235000	就這幫孫子就這道理
235000	236320	就是共產黨就不講理
237120	238320	就這個不講理的啥
238320	240680	這個不要臉的就像三國似的劉備一樣
241440	242840	天天哭哭啼啼
243440	245600	到處在那兒坑蒙拐騙
246080	247720	去個地方人家這個國家沒了
247720	249960	去個地方人家這個地方人家一家人給抄了
250840	253080	帶著關公 帶著張飛
253800	256080	帶著他那什麼朱克亮 裝神弄鬼的
256560	258200	所以三國當中我最討厭朱克亮
259200	262200	這個昨天跟他常早說還有很多戰友在大使館
262720	267240	當場考驗這個問的戰友誰殺的關公沒一人知道
267960	269360	當然呂蒙殺的關公
270080	272160	呂蒙為啥殺關公 是不是
272160	275320	因為他要報仇啊 對吧
276320	279400	為啥當時東吳殺完他以為把呂蒙又給辦了
280200	283360	這裡邊我最喜歡的人物就是陸遜
284000	287000	陸遜這個人了不得 我認為這是個天才
287520	289960	我最欣賞的陸遜就是拿下荊州這一仗
290600	293080	這裡邊是太精彩了 三國裡面
293080	294360	我覺得這一端是精彩的
295080	299120	曹操這個傢伙絕對是超級人物 曹操
299560	304560	劉備那傻乎乎的就完全不行了 孫全牛
305680	309160	所以說那個時候你都看出來很有意思啊
309160	313520	大家你看他跟那個天安門上那天百年明誕特別友誼弄
314040	318080	大家還記得這個事幹完以後 荊州執仗完以後
318440	322600	曹皮登位曹操死以後 曹皮在屋裡邊咳血
323240	326640	司馬怡在外面聽見了 裝作看不見
327000	330280	要求領大軍去幹劉備去
331600	334800	結果是曹皮說你別去 我派我們曹家
335160	338720	曹人什麼什麼的 曹家兄弟什麼的去了
339560	342640	曹職去罰我 去罰劉備去了
344200	349640	結果罰東吳去了 結果就是不想讓司馬怡掌權
349920	351920	你別趁這個機會你想奪權
352640	354720	但是司馬怡為啥這麼幹呢
355240	358480	那個時候就提出來 她傻嗎 潛藏那麼多年
358960	360960	司馬怡就是中共裡邊的王岐山
361760	363760	她發現你這小子身體也不行了
364160	367720	她發現我要借這個罰吳的機會 我要把二十萬打兵領走
368120	369400	但是曹皮沒上當
371200	375480	這個天安門城樓上所有的官員一看習近平的臉色和氣色
375920	379720	所有人像當年司馬怡看到了曹皮一樣身體不好
380840	384080	我該出手了 所以王岐山還在上面呢
385040	388840	大家發現很多軍事人在嗎 丁薛祥在哪呢
390240	392160	公安部的那幾個大佬在哪呢
392520	394760	中紀委的那幾個大佬在哪呢 沒發現吧
395840	398960	大家慢慢研究吧 大事大事大事
399680	403120	那天就是所有人發現 都發現了曹皮科學
403520	408400	大家都發現了習近平的臉色不好 精神狀態不好
408400	411280	那個時候真的習近平 他絕對有替身
411480	413840	但那天天安門上的絕對是習近平
414800	416000	那是真實的習近平
416800	421000	那是在地下時間比較長出來臉色發黑
421480	424400	整個人 我跟習近平多次一起喝酒
424400	430000	這個人的嗓兒紅亮 氣色紅潤 小手胖乎乎的
430720	434320	號稱熊掌 熊掌 英雄之掌
434320	436480	別念錯了 英雄之掌 熊掌
437600	443760	特別引咎手 像那個九個月的大蔥一樣 白白兮兮的
444640	446880	是很享受 說你看那天徹底完了
448480	451760	那麼這種情況下 共產黨的內部鬥爭
451760	454480	就像過去的江湖 三國演義
455040	461280	江派 習派 所謂的胡派 已經完全成為了什麼
461600	465840	大家看到了嗎 是沒有劉備的 沒有劉備後的
466480	470800	劉備的後人就是阿斗 而剩下的就是曹操
471360	474000	然後東吳一滅 曹操獨立天下
474800	477120	現在看上去好像是習是厲害的
477760	480880	但是真正大家覺得 你們可能是想不到
481440	484400	贏家可能就是江 江要和誰臉
484400	488720	就是剛剛滅完荊州以後 東吳還要聯合劉備
488720	492800	你別死呢 咱還得合作 把你的兵給你送回來了 是吧
495440	499440	然後把呂蒙給要死了 是吧 放心吧 我給你報仇
500000	502000	劉備就是氣死也得答應
502560	507360	朱克亮要跟他的哥哥朱克緊合作 我沒選擇 只能跟你合作
507360	512720	那就是王岐山和江家 和孟建柱的剩餘派系要合作
513360	515840	幹啥 幹啥 大家懂的
516720	522720	只要江 王 所謂的朱 所有的這些人一合作
523120	526160	就是江澤一帶 東吳派重新崛起
527120	532720	剩下的習這個就是啥 習就是當年的 正兒八經的就是關公
533520	537680	就是關公那個 靠擁上來的 張飛 哭哭啼啼
537680	540880	最後兩人頭都給砍了 是吧 都給砍了
542160	545680	這就是張飛關羽的化身 就是習
546800	551600	你看到天安門城樓上 就是當時司馬一發現了曹萍
551680	556800	發現了曹萍 所有的 包括還有敬書 送到司馬一旁邊的敬書
557280	560880	這敬書這個女的這個故事弄得很好 很很精彩
560880	565120	共產黨旁邊都被中央領導派去有敬書
565680	567680	這個敬書太重要了
567680	574080	所以現在中共派下包括江胡的 江胡身邊
574080	577200	包括江派下去的多少敬書都在發揮作用
577840	580960	共產黨的內戰已經全面開始
581440	584480	天安門上雖然沒掛上習以神的像
584480	590240	他本人的道場和那個氣場和氣質和為了這一場表演
590240	596160	暴露出自己的實力和膽怯和恐懼 他輸了
