start	end	text
0	6000	我这个快没电了
6000	10000	这个快没电了天哪
10000	14000	拍的可没电 这帮小孩简直是了
14000	18000	声音怎么样啊声音怎么样
30000	34000	好
34000	38000	好
38000	42000	好
42000	46000	好
46000	50000	好
50000	54000	好
54000	58000	好
58000	62000	好
62000	66000	好
66000	70000	好
70000	74000	好
74000	78000	好
78000	82000	好
82000	86000	好
86000	90000	中了
98000	100000	我在试技术直播呢
100000	104000	试直播呢
116000	120000	好
120000	124000	好
124000	128000	好
128000	132000	好
132000	136000	好
136000	140000	好
140000	144000	好
144000	148000	好
148000	152000	好
152000	156000	好
156000	160000	好
160000	164000	好
164000	168000	好
168000	172000	好
172000	176000	好
176000	180000	好
180000	184000	好
184000	188000	好
188000	192000	好
192000	196000	我收到了我收到了我再试试直播呢在这
196000	200000	我收到了我再试试直播呢在这
200000	204000	我收到了我再试试直播呢在这
204000	208000	我收到了我再试试直播呢在这
208000	212000	我收到了我再试试直播呢在 ..."
212000	216000	我收到了我再试试直播呢在这
216000	220000	我收到了我再试试直播呢在这
220000	224000	我收到了我再试试直播呢在这
224000	228000	我收到了我再试试直播呢在这
258000	287000	这个现在在试直播啊,兄弟姐妹们,这个别在这儿浪费你们时间,我在试直播,试直播啊。
288000	310000	不得不换号,GTV观看人数是怎么计算的,如果大脑来说我们观看人数少,不知道咋对的。
310000	327000	你还操这钱心呐,他说的话你还上心呐,我这位Wi-Fi没连上这个iPad。
327000	335000	兄弟姐妹们,咱等著会儿试直播的啊,别耽误你们时间,别耽误你们时间,这一会儿就上了,就一万多了。
335000	345000	我们事实上观看的人数一定是多于我们现在显示的人数,这点是毋庸置疑的,如果不相信就不要看呗,这不很简单嘛。
345000	355000	我们干嘛要回答一些谎话连篇的人呐,连自己的儿女都不养,连自己的爹妈都不要。
355000	364000	你们怎么相信这种话,相信这种话你觉得回应这种话你不上当了吗,不就是要转移你的视线吗。
364000	377000	四年来又是主啊,又是耶稣啊,天天灭供,又是哭又是闹,最后他搞什么,搞西摊去了,西摊炎,搞双休去了,这话你也要回答他。
377000	383000	人家说你是男的是女的,你要脱裤子看看吗,对不对啊,这是个起码的常识。
387000	397000	共产党要的就是啊,要的就是现在七哥王定刚是不是被赶出去了,我希望先别赶出去呢,他不是赖在那吗,就他赖著嘛。
397000	423000	你这个在美国这个国家啊,只要你有赖过,你耍过赖皮,你耍过流氓,这个历史一旦被法庭被认证了,像什么说谣言是吧,像这个录大脑袋,录骗子,他只要撒过谎,只要能证实啊,在他回中国之前,回广东之前,回香港之前,他没有任何回击的余地。
424000	437000	大家著什么急啊,是不是,他在那块住著每天还得付钱,是吧,他在那块住著能舒服了吗,对吧,那些家具都毁差不多了,索赔,那家具比房子还值钱。
442000	450000	咱现在不是直播啊,是直播,大家别浪费时间,特别国内的战友你们该睡觉,这个时间点上你们千万别影响你们睡觉啊。
453000	469000	所以说,兄弟姐妹们,千万千万不要跟著伪类们,还这些所谓亲民人们,共产党的脚步走,那不就傻了吗。
475000	479000	哇,中央公园的景观太漂亮了,太漂亮了。
483000	493000	把这个往上扒一扒,这旗子也给我整歪歪了。
513000	531000	反共美国大兵官方号,几个,反共美国大兵官方号,让领导先走。
532000	543000	水电费不要帮他付了,水电费是他自己付的,他自己付的,这是有什么说什么,红艳生生啊。
543000	554000	关塔纳摩,关塔纳摩,关他妈的摩。
554000	560000	替替蚂蚁,七哥还没有聊我。
560000	564000	奥利弗,七哥念念念我念我念我啊。
564000	566000	霹雳大侠DC。
570000	572000	Maria,Maria。
572000	576000	七喜,七喜很久不念我了,七喜,七喜很久不念我了。
576000	579000	七喜,相机过热啊。
579000	582000	内网,向往自由的东耳。
584000	591000	现在大家觉得这个音,用这个麦克风的时候,音频结果怎么样?
591000	616000	这帮家伙真是太不靠谱,这小孩太不靠谱,这孩子太不靠谱了。
621000	629000	这些孩子怎么就这么不靠谱呢?
651000	669000	真的,我觉得咱们这个中国人啊,这个G70后80后,这孩子太不靠谱了,真的是太不靠谱了。
