start	end	text
0	6140	法定人數不足
30000	33520	啊 還是沒聊天啊 還是沒聊天啊
34240	37320	還是看不到留言的 就不看留言了啊
37320	41200	就不看留言了啊 兄弟姐妹們啊 就不看留言了啊
43600	45680	就不看留言了啊 兄弟姐妹們啊
47120	50080	這個很多戰友 哎 我看看 只要能出去就行了
60000	86160	好 只要出去就好了啊 行了 就看不到留言了啊
86160	87640	我就不看大家留言了啊
88640	93320	兄弟姐妹們啊 因為剛才啊 這個很多很多戰友呢
93320	99040	發信息啊 這個給七哥 說這個 七哥講幾句 講幾句 講幾句
99040	103040	啊 那我 好吧 太多了 我真的沒辦法
103040	105080	那手機就一直噗嚨噗嚨噗嚨噗嚨噗嚨
105080	110040	然後呢 很多戰友說 七哥 哎呀 這個心裡不落聽啊
110040	114040	要聽幾個說幾句 那就說幾句 剛才一直在健身
118640	123960	我說好吧 咱就趕快拉完身 我馬上 我11點多一點
123960	127840	就出去 所以沒有什麼時間啊 我就簡單給大家露個臉
127840	131600	啊 簡單說一下 特別是昨天直播完以後呢
131600	134920	很多戰友發信息啊 我沒辦法一回啊
134920	140400	有人說是這個馬化騰的 騰訊的原來的股東之一啊
140400	143720	在美國買的房產 還有在英國買房產的啊
148640	152640	那麼 戰友們問 這個會不會有問題呢
152640	155640	這個資產 我可以告訴大家 百分之百有問題
155640	161640	啊 還有的是 這個在所謂的香港那幾個紅色家族啊
161640	165640	代表他們買的資產啊 在加拿大 會不會有問題呢
165640	170640	一定會有問題 啊 還有在問有在加拿大的 華為的啊
170640	174640	原來華為的高管啊 買的那個那個房子
175640	178640	一定會有問題啊 你不用聽我的
178640	182640	你去查查 美國在制裁當中 在俄羅斯制裁
182640	186640	北朝鮮制裁 伊朗制裁啊 大家看一看
189640	192640	大家看一看 都包含了什麼人啊
192640	196640	只要是共產黨啊 所謂的上了名的企業
196640	199640	和共產黨來的資金 幾乎全部在查封之內
199640	203640	有沒有機會 未來給你平反呢 也有機會 是吧
203640	206640	比如說像馬化騰啊 馬雲啊
208640	211640	徐家印啊 你像肖建華的錢 百分之百給他沒收
211640	214640	百分之百給你沒收 你怎麼折騰都拿不走的
214640	217640	這個傻貨 還外邊存上一二十億美元
217640	221640	這是愚蠢的東西啊 這個世界上沒有比喻再可憐的
221640	224640	就是搗亂了一輩子是給人家搗亂了錢 是吧
224640	226640	這完了 那麻煩了
226640	229640	那麼另外一個就是很多戰友說
229640	232640	那我在銀行裡邊 我買的股票啊 證券啊
232640	236640	有價債券啊 兄弟姐妹們 只要你錢動過
236640	240640	只要和共產黨有關係 都會給你查的本清
242640	244640	這個時候 那錢上哪兒去啊
244640	246640	我跟你說 只有兩樣地方去
246640	251640	第一個 把金磚 你還買這個金磚別人家大得買
251640	253640	你買個三億美元兩億美元的金磚
253640	255640	肯定找你家去 是吧
255640	257640	這個就是食物切割
257640	260640	第二個就是數字貨幣 沒有什麼地方
