start	end	text
0	5280	哎 好了 尊敬的戰友們好 四點二十幾號
5280	9400	上午啊 上午 給你們發了那個視頻說
9400	14440	都剛剛的開完停 這個是從今天 昨天晚上
14440	18520	就是兩點鐘起床到現在 整整十八個小時
18520	22040	十八小時 這個除了昨天晚上兩點
22040	26160	到今天早上六點 一直在跟亞洲的戰友們
26160	29880	還有一些其他地方在開會啊
29920	33920	然後就是今天就開庭 感觸太深了
33920	39080	就是今天我是由pass官司有史以來 五年
39080	41800	我第一次站到法庭上作證
41800	44080	奧斯特雷克法官到時候我去過 上去我說
44080	47760	I do 他說你下去吧 再也沒讓我說過話
47760	51080	然後就罰了現在兩億多美元 是吧
51080	54880	這次法官就讓我在今天幾乎一下午啊
54880	58760	從1點15開始 一直作證到將近五點
58760	62800	五點左右 將近五點 四點 四點半左右
62800	68280	然後呢 這位是一個非常榮幸的是一位女法官
68280	74840	這個法官個子特別高 特別瘦 非常非常的優美
74840	79480	就特別的讓人尊敬 就像一個 就像一個老師
79480	83080	像一個姐姐一樣 人非常細
83080	87360	就是一直在看文件 一個字都不錯過
87400	93720	就是人特別的細 特別的認真 特別的優美 真的是
93720	95680	然後這個法庭上所有的書記員什麼
95680	99160	都是特別的友善 特別的好
99160	102200	然後呢pass這邊一如既往的十幾個人
102200	107840	還有ray馬官司 都是無中無前的法人士 就出來
107880	111080	一如既往的就是個人攻擊吧 跌了呱啦 跌了呱啦
111080	115640	今天就倆事 就是所謂的容不允許借款
115640	118080	來支持這個破產案
118080	120840	第二個就是對一個所謂對方要把這個案子給
120840	125600	第一次就給取消 開庭的時間
125600	129400	然後呢 就問這些事 你說就是個程序
129400	133760	但這個程序它很重要 很認真
133760	135760	然後咱們律師都很專業
135760	138760	養鞭大概今天二十幾個吧 都是律師
138760	142480	二十五六個律師 這打官司真是打的錢 我的天
142480	145440	肝都疼 這怎麼打官司
145440	147920	但是呢 今天我覺得特別好
147920	152120	我覺得最讓我感動的是讓我這個親身的學習
152120	154760	感受美國的法律
154760	159240	真的是讓人感受到一旦這個社會有了法治
159240	164560	這個人的邪惡 真假 他有槓桿 他有手段
164560	168360	如果這個法律不被這個極少數人控制
168360	173520	有真正的公平和透明和獨立太偉大了
173520	177520	雖然今天已經是18個小時 一點沒感覺到累
177520	179160	一點沒感覺到累
179160	181160	今天這個對方找了一個翻譯
181160	184600	這個中國女孩 好像是中國女孩 非常好
184600	187840	小女孩這個第一次翻譯 上庭
187840	190600	我很少看到這麼好的翻譯 百分之八九十吧
190600	192640	都翻譯下來了
192680	196240	余娜作為一個叫確認翻譯員
196240	201200	對方反對我使用余娜 說是跟我說翻譯時間太長了
201200	203520	瘋狂 瘋狂
203520	208120	但是我覺得真是對方的律師 說明了五年來攻擊咱
208120	210240	咱對人家律師沒意見
210240	214000	人家吃這碗飯的 人家不吃這碗飯吃那碗飯
214000	218320	關鍵是這個PAG和背後的共產黨
219320	222240	兄弟姐妹們 阿傻的不火了
224720	228160	最終結果 我覺得今天我們是大贏
228160	230560	而且我覺得有機會能跟法官
230560	234280	能跟法官展示我們這個案子
234280	236840	這個中間我介紹了這個背景 是吧
236840	239240	到這個過程 我特別的開心
239240	243000	讓更多人知道這個案子真實背後的故事
243000	246720	還有一個西哥的 咱們爆料革命的背景
246760	251400	老興奮吧 傻的不火了
251400	253960	明天我真是 後天不行
253960	257480	後天是一個就是 川斯蒂的一個聽證會
257480	259720	也是一天 就是星期五
259720	264840	就是所謂的司法部的一個所謂的川斯蒂的會
264840	268240	這個他對我們一點不友好 不太友好
268240	271960	但是這是小事 明天找時間了
271960	274640	我看看能不能直播一會
274680	278080	因為明天我有好幾個大的 其他方面的會
278080	283480	嗯 你們懂的 滅共正在關鍵時
285280	286800	謝謝戰友們的關心
286800	289120	很多戰友發的信息 我都已經回覆了
