start	end	text
960	2520	尊敬的战友们好啊
2520	5400	还是2021年1月4号啊
5400	6880	刚才直播当中
6880	9200	有两个问题忘了给战友们汇报了
9680	14560	第一个大家买G-Dollar的所有的支票啊
14560	17280	大概我们有这个很多很多张啊
17280	19960	很多张大概也快上千万美元了
19960	21760	我们并没有入账
21760	25480	这些支票我们要么给你退回去
25480	28480	要么就是在这个撕毁
28720	32920	要么就是你自己主动的要求给你寄回去都可以
32920	37360	但是请你一定和喜马拉雅联盟委员会啊联系
37360	40080	老班长和长岛哥还有现在的草根小哥
40080	43480	还有大卫兄弟他们联盟委员会来联系
43480	45240	把你的支票给你处理好
45240	48400	如何处理细节请跟他们联系好不好
48400	51880	希望全球的各农场战友们尽快把这事处理好
51880	52680	第二个事情
52680	55200	兄弟姐妹们我再次拜托兄弟姐妹们
55280	56320	任何人啊
56320	61000	现在跟VOG和凤凰基地对账的战友们
61000	64040	请和我们的喜马拉雅联盟委员会
64040	67200	他们是做义工组织是帮助战友的啊
67200	69160	采取法律行动是另外一回事
69160	73280	请你们配合好和他们尽快联系
73280	78440	为下一步为你们争取到和采取法律行动
78440	79600	做好一切的准备
79600	81400	请最好账
81400	84120	最好账兄弟姐妹们啊
84160	87160	一定别以为七哥承担责任了
87160	88240	你都不管了
88240	90000	哪也不容啊是吧
90000	91080	拜托了拜托兄弟姐妹们
91080	93600	赶快跟他们喜马拉雅联盟委员会啊
93600	94560	把账最好
94560	95680	然后呢
95680	98640	希望能得到你们授权的时候会给你们联系
98640	100040	然后希望你们配合的时候
100040	102240	希望你们高度配合好不好
102240	103920	美国是个法律社会
103920	106240	绝不是你嘴想说什么就说什么
106240	111480	一切是靠你的实力和你的证据
111480	113560	兄弟姐妹们放心吧啊
113600	114400	由七哥宰
114400	115880	毛婶毛婶啊
115880	118400	这个咱们喜马拉雅联盟委员会
118400	121560	是一个战友之间的家庭组织
121560	122960	真正的战友之家
122960	126800	就是你们的农场和喜马拉雅联盟委员会
126800	127640	母该宰了啊
127640	129320	兄弟姐妹们母该宰
