start	end	text
0	3000	我们全部都看过你那个所谓的英雄的报告
3000	6000	他就是一把垃圾 没有任何东西
6000	10000	就是他还没报之前 我心知肚明
10000	14000	但是他们不知道我们有真正的英雄 真正的科学家
16000	20000	我们已经把你读灭共的事儿干完了 提前结束了
20000	22000	他傻乎乎的在前面说啥呀
22000	25000	你讲来讲去就那几条 还要摆脱那手指
25000	27000	他的手指很差好不好
28000	30000	七哥啥没见过
30000	34000	七哥曾经是几大模特公司的背后股东
34000	36000	啥样人没见过 就他
36000	40000	还敢称为漂亮 他敢称为漂亮
40000	45000	那是因为摄像机的略净 是吧
45000	47000	你这不是开玩笑吗
47000	49000	那么这些我们真正的科学家
49000	52000	真正的贡献者和英雄出来的时候
52000	55000	你会发现这些人真都是垃圾
56000	59000	那么九指腰给我们的伤害是占有的安全
59000	62000	这些人有啥伤害呀 他有啥伤害呀
63000	66000	他拉球倒了对我们最大的贡献
66000	68000	他最后的贡献就是让我们知道
68000	70000	这证明他是假的 他是骗子
71000	73000	而且我们会让世界看到
73000	75000	能让他成为天上掉下来的屎
75000	78000	也会让他变回到他自己的蛇妖的身份去
79000	81000	按我们金云大师的话说
81000	84000	他今年4月份蛇妖之命
84000	86000	这个妖精的精气已经没了
86000	89000	4月份都没了 说多叫王定刚
89000	92000	他也没有多少月的蹦跶了 是吧 挺好
93000	94000	这就是天意
94000	97000	就是我们面前遇到的威胁和障碍
98000	99000	老天都帮我们处理了
100000	104000	除了这个九指腰 蛇妖炎
105000	107000	王定刚撸大脑袋 撸骗子
107000	109000	这些事情他让我们看到了什么
109000	110000	大家记住了吗
110000	113000	当时这个九指腰事出现的时候
113000	115000	你看他战友当中多分裂呀
116000	120000	但是蛇妖炎王定刚让我最最感动的事情
121000	124000	战友们 更多的人相信爆料革命
124000	126000	坚定的跟随其格
126000	129000	坚碎的爱维护战友 维护心中的联邦
129000	131000	这是让我这几天最感动的
132000	134000	第二 战友反应之快
134000	135000	行动力之强
135000	138000	跟当时九指腰事件放在一起比
138000	140000	那是天壤地别
140000	145000	新中国联邦的力量正在全球形成一种正义的
145000	148000	行动的上升的力量
148000	150000	这点让我特别感动
152000	158000	很多战友对真假事物的辨别和识别能力
158000	161000	对善恶的确定
162000	167000	那么这个变化和提升让我非常之惊讶
169000	176000	那另外就是王定刚 路大脑袋 路骗子和蛇妖炎
176000	179000	这俩人就low到如此
179000	183000	而且用这种烂的方式来帮助我们成长
183000	186000	让我很惊喜 非常惊喜
187000	189000	另外 我也看到了
189000	192000	就很多人啊 怀疑这怀疑那的
192000	195000	战友们 记住啊 我们家Snow的智商
195000	198000	我们Snow的智商 大家都看到了
198000	199000	就咬他 就咬他
199000	202000	吃饭的时候他还抱那盒 咬了他很多次
202000	205000	Snow一看 哎呀 老嗨气
207000	209000	我们家Snow看到老嗨气
209000	212000	Snow就是这俩人 王八蛋 偷奸 奸情
212000	215000	不是好人 是蛇妖
216000	218000	Snow呢 我们家Snow呢
221000	223000	Snow太可爱了
225000	232000	到哪儿飞 到哪儿飞
232000	238000	我给大家放一段视频 大家可以看得到这一段视频
238000	240000	我给大家放一段视频
240000	242000	我给大家放一段视频
242000	244000	我给大家放一段视频
244000	246000	我给大家放一段视频
246000	248000	我给大家放一段视频
248000	250000	我给大家放一段视频
250000	252000	我给大家放一段视频
252000	254000	我给大家放一段视频
254000	256000	我给大家放一段视频
256000	258000	我给大家放一段视频
258000	260000	我给大家放一段视频
264000	266000	这小皮匠
266000	268000	西哥 我要跟艳萍姐结拜
268000	270000	我也是从一开始就不待见
270000	272000	王金刚和阎蛇妖
272000	274000	你俩长得都挺像的
274000	276000	拜去吧 恭喜了
282000	284000	哎呀我的妈
284000	286000	放一段视频
286000	288000	我的声音再给弄没了吧
288000	290000	好好
290000	292000	放一段视频啊
292000	294000	有声音吧
300000	302000	谢谢您七哥
302000	304000	千万别误会某某战友
304000	306000	他真的是我的好哥们
306000	308000	我不想让他跟您说太多路德的事情
308000	310000	因为我不想让您误会他
310000	312000	更要保住了椅子
312000	314000	我某某
314000	316000	只要不至于让我死了
316000	318000	吞下什么都无所谓
318000	320000	不敢不敢七哥
320000	322000	谁他妈怀疑您的智商呢
322000	324000	真的是傻逼了
326000	328000	为真不破 为正义不破
328000	330000	相信您说的
330000	332000	在爆料革命中
332000	334000	谁有一丁点私心私利
334000	336000	将会陷入万计不服
336000	338000	我从第一天加入爆料革命到现在
338000	340000	一直坚持低调
340000	342000	我不要名利
342000	344000	我没有什么纪念
344000	346000	我一直说我所做的只有上帝
346000	348000	和我知道就够了
348000	350000	我真的迫于无奈
350000	352000	向您张口申请政治庇护
352000	354000	和申请最低保障救济
354000	356000	我在满足最低生活
356000	358000	标准之外
358000	360000	绝不会多要一分钱
360000	362000	我需要的是共产党死掉
362000	364000	昨天
364000	366000	某某
366000	368000	给我发消息
368000	370000	告诉了我
370000	372000	真心感激不尽
372000	374000	说实话
374000	376000	我没想过继续练
376000	378000	能和我有关系
378000	380000	因为我没钱
380000	382000	我也不会去找人借钱
382000	384000	我承认
384000	386000	和坦然从容
386000	388000	心安理得地接受自己的贫穷
388000	390000	我们家虽然是农民
390000	392000	但从小就接受的教育
392000	394000	就是我们虽然贫穷
394000	396000	但不可以没骨气
396000	398000	您推动起来的爆料革命
398000	400000	已经让我们看到了曙光了
400000	402000	我的理想就是
402000	404000	过着美国农村的生活
404000	406000	虽然没钱
406000	408000	但很自由
408000	410000	我个人也不后悔现在的贫穷
410000	412000	因为我在踏入社会的第一步
412000	414000	在相对物质
414000	416000	还是自由中选择
416000	418000	我选择了后者
418000	420000	我们基层的普通人
420000	422000	只能在收入和相对自由
422000	424000	二选其一
424000	426000	我想
426000	428000	路德哥和严博士的关系
428000	430000	您早就知道吧
430000	432000	我打字有错字
432000	434000	望您见谅
434000	436000	这几个月来
436000	438000	我一直藏在心里
438000	440000	每次想起来都很后怕
440000	442000	其实和我也没什么关系
