start	end	text
560	4920	盐 琼 平衡一下啊
8360	12520	刚刚从外面啊 从外面我们到里面来了啊
13480	14440	到里面来了
21960	25000	天哪 我这换完衣服了 这烟还没灭呢
25000	32320	刚才我录了一段在外面学的里面啊
32840	42200	你看我这个G-Fans这一套 裤子啊 鞋子 这个马甲不是
45200	46320	所以说兄弟姐妹们
46720	49600	我刚才在外面给大家录那段你们听到了
50080	52600	就是现在共产党在国内这个宣传啊
53600	57800	好像美国是天崩地裂 活在水深火热之中
58560	61120	我们活了三十年 五十年 七十年都知道
61120	66240	美帝国主义天天灭亡 美帝国主义天天活在水深火热之中
67480	69640	全人类的天堂公认是帝国
69640	73040	美国有最强大的金融系统 最强大的军队
73040	77120	最强大的物资 最便宜的物价 最高的工资
78080	81560	人人都可支付的机会 最强大的法律系统
82680	85840	你说共产党你就瞪眼撒谎 你就敢这么撒
86240	90800	你姥姥你也不要跟人家屁脸 你好意思吗
91520	95720	你好意思吗关键是 你好意思吗
97640	101560	就这么就敢忽悠 就这么忽悠 是不是
105560	109880	那么现在在香港 大家看到多少香港人现在
110600	116880	奋然离开家园 接着香港的那个叫什么林郑书仪
117680	122160	叶刘书仪这个傻货 说这都是逃避香港
122640	127400	在香港犯下的罪行 你这个王八蛋 你竟然敢这么说话
127960	132520	谁犯了罪行 是你们犯了罪 香港人被你们用烂了
133280	139200	用完了 你要杀 你要强奸 你要轮奸 你要抓要遣返
139680	144120	最后弄得所有的香港变成超港 七里子山 家破人亡
144640	148880	就这敢到英国还不算数 还要取消人家的旅行证件
149080	153000	这是当年你和英国签的合同 你不管了
153280	156280	说人家香港人不爱这个国就不爱爹
157080	160720	然后呢到英国就去找英国的干爹去了
161760	163760	那英国是干爹谁是亲爹呀
165440	168080	你中国大陆是亲爹吗 共产党是亲爹吗
168640	170960	是大陆是亲爹 不是你党是亲爹
171240	175240	为啥人家一个正常的人不跟着亲爹
176120	178200	却要去跟着这所谓的干爹去呢
178560	182200	为啥这干爹给他发了BNO护照呢 你咋不发呢
183680	187800	你剥夺了他的生存权 你剥夺了他旅游的权利
188240	191520	你让他家破人亡 七里子山 各个如此
193200	194600	被枪奸 被轮奸
195600	199600	香港是世界的传奇 是香港人传召的 不是你共产党
200200	202600	你大爷来的 是你毁了香港
204480	206280	就这你也敢胡说八道
210200	213200	就这你敢胡说八道 你归属于英国人吗
