start	end	text
0	6000	6月29号 尊敬的战友们好
6000	8000	减什么了吗 减什么了吗
8000	10000	哎呀 我这两天你看我发现啊
10000	13000	你看这套新系列 你看
13000	15000	这全新的 你看这么大
15000	18000	天呐 这也真是的啊
18000	20000	减肥啊 减肥减肥
20000	22000	减太肥了 减太够肥了
22000	24000	兄弟姐妹们好啊
24000	25000	6月29号
25000	27000	今天我是在咱们的GTV这个
27000	29000	发一下子咱们这个啊
29000	31000	因为盖特呢 这个
31000	34000	因为人家不是咱的 是吧
34000	36000	人家现在要调整 没办法啊
36000	38000	咱就是只能认啊 是吧
38000	40000	清理所有的数据
40000	42000	清理所有的账号
42000	44000	然后大家要重新阻止啊
44000	46000	这个 大家知道这几天
46000	48000	真的是太忙太忙太忙
48000	50000	即香港啊
50000	52000	这个避风塘大爆炸
52000	54000	北京啊
54000	56000	地下军事啊
56000	58000	所谓的国防工程啊
58000	60000	这个某些区域进行大崩塌
60000	62000	大连所谓的炸桥事件
62000	64000	未发生啊
64000	66000	大部分被抓捕
66000	68000	之后啊
68000	70000	在香港又发现了
70000	72000	疑似疑似啊
72000	74000	有人啊所谓要炸什么
74000	76000	香港的啊这个火车啊
76000	80000	香港的整个的港铁啊
80000	82000	现在是如临大地
82000	84000	那在北京啊
84000	85000	大家坐地铁
85000	87000	我想北京的战友们都能感受啊
87000	89000	到处是便衣
89000	91000	到处是特务啊
91000	93000	到处是军人啊
93000	95000	整得好像是天要塌了一样
95000	97000	那么不但如此
97000	99000	昨天就在故宫里边
99000	101000	过去布置了两千个特种兵
101000	103000	一下子增加了五千
103000	105000	哇塞 你说那个故宫里面增加五千个人
105000	107000	吃喝拉拉睡什么样子啊
107000	109000	然后呢
109000	111000	在中南坑周围
111000	113000	在这个大楼顶上
113000	115000	提前又加重的布置了
115000	117000	各种的防御工程
117000	119000	所谓的防无人机
119000	121000	是第一要务防无人机
121000	123000	在天空中
123000	125000	布置了大量的防无人机的
125000	127000	各种激光炮
127000	129000	现在共产党的激光炮
129000	131000	在世界上绝对是世界级的
131000	133000	排不了第一
133000	135000	有美国它永远排不了第一
135000	137000	排在前三位前五位是没问题的
137000	139000	激光炮啊
139000	141000	而且在西山西山地地
141000	143000	还有在东部
143000	145000	在整个通州地带
145000	147000	在首都机场附近
147000	149000	在南院机场附近
149000	151000	形成了三环的网
151000	153000	啥叫三环呢
153000	155000	每一个角度都用三个设施
155000	157000	三个部队
157000	159000	布了三环网互相不相信
159000	161000	那现在共产党
161000	163000	现在就是要全程全北京
163000	165000	打飞机
165000	167000	别理解错了啊 打飞机是另外一个
167000	169000	真打飞机啊
169000	171000	不是打你自己的飞机 真打飞机
171000	173000	全程现在最紧张就是打飞机
173000	175000	所以这个
175000	177000	很可怕
177000	179000	一个国家一个政府被吓成这个样子的时候
179000	181000	真是挺可悲的
181000	183000	更夸张的战友们可能不知道
183000	185000	各单位
185000	187000	就连你灌了几罐
187000	189000	多几罐天然气
189000	191000	现在要查 为啥要灌几罐天然气
191000	193000	为啥被带走要查
193000	195000	有的战友家里面
195000	197000	有的朋友家里面
197000	199000	有多几台车
199000	201000	把几台车给移出去
201000	203000	然后呢都加满了油箱
203000	205000	找来了
205000	207000	你家突然间几个车子启动
207000	209000	加满油干什么
209000	211000	又要问 还要做证人
211000	213000	还要打电话
213000	215000	你是否预约了下一个要去的地点
215000	217000	去这个昌平
217000	219000	还有去这个
219000	221000	那叫什么
221000	223000	蒙古大草原那几个高速路上
223000	225000	都布置了重兵
225000	227000	坦克
227000	229000	当然 当然担心有人从哪进来
231000	233000	据这个北京城的所有的
233000	235000	体制内的所有的战友说
235000	237000	经历过一辈子
237000	239000	活着的时候想过
239000	241000	没见过这一次
241000	243000	所谓的国庆百年大庆明战
243000	245000	这党战
245000	247000	党的战
247000	249000	这么样的独立大敌
249000	251000	这么样的恐惧国
251000	253000	从来没有过
253000	255000	那是为啥了呀
255000	257000	为啥了呀
257000	259000	兄弟兄弟们
259000	261000	恐惧 是吧
261000	263000	他给全世界输入恐惧
263000	265000	他给我们爆料革命每个人输入恐惧
265000	267000	现在是他恐惧了
267000	269000	七哥从第一天爆料就说
269000	271000	共产党的恐惧就是我们的武器
271000	273000	他只要恐惧
273000	275000	他就知道民心不在党
275000	277000	民心已不像党
277000	279000	没有人相信
279000	281000	一切是党的
281000	283000	一切听党的
283000	285000	民心不如党亲
285000	287000	都知道这个王八蛋是要被干掉的
287000	289000	因为他是杀人凶手
289000	291000	他是这个民族的祸根
291000	293000	各大金融机构
293000	295000	现在派进去的
295000	297000	所谓的纪委
297000	299000	还有国家安全委员会的委员
299000	301000	各大银行机构
301000	303000	任何对外的信息
303000	305000	任何人的手机
305000	307000	任何人的电脑
307000	309000	都要被监控
309000	311000	在经济领域
311000	313000	如果你不是甲铠门上的
313000	315000	你有那么害怕吗?
315000	317000	上海星业银行
317000	319000	上海银行
319000	321000	上海信托
321000	323000	造假报表
323000	325000	都造到自己都不好意思了
325000	327000	所谓的国家
327000	329000	经济安全领导小组
329000	331000	指导人员说
331000	333000	按党的吩咐办
333000	335000	党要有多少钱
335000	337000	就要多少钱
337000	339000	百号面加一个零加两零
339000	341000	那不是事儿
341000	343000	上海人比较胆小说
343000	345000	这样下去能行吗?
345000	347000	我要承担责任
347000	349000	我承担责任
349000	351000	你不用承担责任
351000	353000	他说上海的星业银行
353000	355000	他说那我咋知道你是谁啊
355000	357000	你现在不认咋办呢
357000	359000	我现在就代表党
359000	361000	你必须这么认
361000	363000	关键的
363000	365000	一句话
365000	367000	现在民心不能沙安
367000	369000	民心就是国家安全
369000	371000	啥叫民心啊
371000	373000	欺骗来的民心
373000	375000	在香港
375000	377000	香港的几大银行
377000	379000	几大老板
379000	381000	几大背后控股人明确的说
381000	383000	赔钱国家给你
383000	385000	必须按照赶面账的经济
385000	387000	继续往下撑
