start	end	text
0	3720	尊敬的战友们好
3720	6360	现在是2月12号
6360	9960	美国时间的大年初一早上
9960	11120	七哥今天早上
11120	15320	这是咱们G-Fansion的全新的衣服
15320	17640	全新的昨天没有展示的
17640	19880	那么这是咱们郭战装的款
19880	23320	然后这里边是大家以前展示过了
23320	24960	两周前特定的
25000	28440	就是咱们的信仰之星的红色
28440	29960	两套红的
29960	33840	一套这个金色的这个衣服专为穿的
33840	37520	今天这处女船已经献给奥亚农场了
38920	41800	这个非常这两天
41800	44760	大家都知道非常非常的忙
44760	46120	非常非常的忙
46120	46640	但是呢
46640	48960	非常非常的充实
48960	52600	那么这是一个中国农历的春节
52600	53640	七哥在此呢
53680	58040	衷心的祝十四亿同胞和所有的十四亿同胞
58040	60040	所有的家人们
60040	62720	所有的家人们新春愉快
64000	66120	万事顺利
66120	67680	平安健康
69800	73280	这包含了中国的共产党的所有的党员
74840	75760	兄弟姐妹们
75760	78280	当我们每年过春节的时候
78280	81360	我们都要去想一个问题
81400	83760	到底什么是春节
83760	85520	大家一说过去的
85520	89040	什么传说中的有个年是一个怪物
89040	92480	天天到村里来吃老人孩子
92480	96080	大家为了赶走他点炮上把他赶走
96080	97480	从此形成了年
98880	101160	也有人这个传说
101160	103160	在战国时期
103160	104680	包括后来的隋
104680	107280	隋时代隋朝
107280	110560	就在咱们今天的所谓的南方
110560	112640	大量的瘟疫
112640	114440	得瘟疫病
114440	116000	瘟疫病解决以后
116000	118440	寄风上天的一种形式
118440	122600	同时在这个一年四季的这种节气上
122600	125600	它是一个最大的转换的节气
125600	128200	它是中国人几千年的智慧
128200	132440	跟西方的后来两千年的公历年
132440	133960	也就是以基督教为主
133960	136840	2000年的这个公历年
136840	140000	所谓的阳历年一月几号阳历的一号
140040	141720	它是一样的
141720	145040	中国人的传统文化当中有些很伟大的东西
145040	147760	但有很多的糟跋
147760	149560	比如说过年
149560	152120	这种傻吃傻喝
152120	153800	请客送礼
155320	157520	完全没有什么这个意义的
157520	159080	所谓的客头送礼
159080	160120	客头啊
160120	162360	这个这个这个给红包给钱
162360	165720	这是非常糟糕的糟跋
165720	166920	大家忙了一年了
166960	168320	结果把钱花光
168320	170600	吃光喝光
170600	171760	而且搞得那么虚荣
171760	174240	再一个都喝出病还打架
174240	175360	还骂架
175360	177560	这种无知不是一般形容的
177560	179120	要是没火了呀
179120	179880	我得填一下
179880	198240	那么咱们今天我们有新中国联邦了
201640	204480	我们过着一个金色的年
204480	207160	我们过着有希望的年
207160	209240	无论是年周年
209240	212640	那个所谓传说中的怪物吃老人孩子的年
212640	215640	和无论是南方的所谓的驱邪
215640	217720	驱除病毒的年
217720	218720	他都是一个
