start	end	text
0	500	啊
4120	5720	能看妆啊
6820	8920	没人没人没人没人
14120	14620	啊
25200	25700	啊
30880	31380	啊
35240	35740	哎
36800	37600	爆彩蛋
37600	39160	平安第一个啊
39160	41000	爆彩蛋第二个啊
41000	43560	人生即变物第三个啊
43560	44520	第三个啊
44520	45920	火烧人民大会堂
45920	47360	能啊
47360	48560	第一个叫平安
48560	49840	第二个爆彩蛋
49840	52160	第三个人生即变物四个徐文成
52160	53880	第五个火烧人民大会堂
53880	56220	第六个是纽约客
56220	58560	第七个是Wendy77
58560	59780	哦这过了
59820	61700	文信俊可
63500	65620	大家好大家好大家好
65620	66900	4月16号
66900	68340	尊敬的战友们好
68340	69700	尊敬的战友们好啊
70340	70840	啊
71140	72260	问问
72660	74660	问问七哥念念我吧
74660	76660	啊压垮骆驼的稻草
76980	78300	七哥想您嘞
78780	80660	金沙红金沙红
80660	81580	渴望自由
81580	82900	杯酒见龙
83380	84020	点油
84020	86340	啊文战金沙红
86340	87620	文鼎中士
87620	89460	啊人在路天在看啊
89620	90900	三顶之峰啊
91940	93300	哎呀哎呀哎呀哎呀
96580	98020	你还在晕啊
104660	105540	雪茄呢
113540	114620	还在雪茄的这
119460	120900	我看你咋雪茄
124500	126580	抽著雪茄喝咖啡
126580	128300	打一米雨是什么
128780	129280	啊
130180	130680	叫
131100	132620	美容软件
132620	133120	啊
133260	133760	啊
136220	136720	啊
142540	144860	成兵成兵成兵成兵啊
144860	147460	成兵啊成兵来了啊成兵啊
147460	149460	成兵啊这一下就2.1k了
149460	150980	哎呦我的妈呀哎呦我的妈呀
150980	152500	这这人也刷的太快了
153220	153720	哎呀
154420	154920	是吧
156260	157940	今天我这整查了啊
157940	161540	这人真事节目今次还延长了半小时
161540	164100	你看这这太不像话了太不像话了啊
164500	165620	抱歉抱歉抱歉
177700	181620	真人真事节目因此延长半个小时
181620	183860	抱歉啊兄弟姐妹们抱歉抱歉啊
184660	186180	非常的抱歉啊
188180	188680	好
189700	190500	兄弟姐妹们
190980	193060	4月16号啊今天这个
193060	195060	为啥又要乱聊直播了呢
195700	198820	就是这个实在是太多人找我啊
199220	201380	发信息我没办法一一回啊
201940	203380	我没办法一一回啊
203380	204580	我没办法一一回啊
204580	206020	我没办法一一回啊
206020	207620	我没办法一一回啊
207620	209140	我没办法啊兄弟姐妹们
209140	210740	我今天还有一堆事
210740	214020	家里今天还有这个这个重要的来客啊
214020	216020	所以说我咋办呢
216020	218500	这个就不能一一的回
218500	220500	那我就在这会儿给大家回复一下
220500	222500	特别是长春的战友啊
222500	226020	长春的战友给我发了很多很多信息
226020	229620	长春的战友这次我觉得做的非常非常的棒啊
229620	231620	我觉得比上海战友棒
231620	233620	就这次能看得出来
233700	236340	就东北的长春的战友啊
236340	238340	对七哥的话那更加是听啊
238340	240340	不但听还执行到位
240340	243380	比如说准备的外面的基地啊
243380	244340	是吧
244340	246740	准备的基地啊准备的粮食啊
250900	254580	我说今年的就是大家还能够发信息包括敏感
255140	258020	今年的敏感我现在搞不清两个原因啊
258020	261860	去年要这时候那就不一定就这哗啦哗啦地下
262820	264820	今年几乎没有
264820	266820	就今年的基本上
266820	270820	今年的基本上的这个就是敏感
270820	272820	好了
273460	275460	吃维他命D了我
275460	277140	还吃群号素了
277140	281300	到底是他俩管用还是某一个管用真的不知道
281300	283780	但肯定今年是基本没有
283780	286820	像今天有这种感觉是第一次啊
286820	288820	没有
288820	290820	长春战友为啥我说牛呢
290820	293860	长春战友管跟七哥联系的
293860	296660	管跟七哥联系的啊
296660	299780	就这个救助战友帮助战友
299780	301780	大概两千多次
302980	306660	最重要的事情咱们战友竟然能到啥程度啊
