start	end	text
960	2520	尊敬的戰友們好啊
2520	5400	還是2021年1月4號啊
5400	6880	剛才直播當中
6880	9200	有兩個問題忘了給戰友們匯報了
9680	14560	第一個大家買G-Dollar的所有的支票啊
14560	17280	大概我們有這個很多很多張啊
17280	19960	很多張大概也快上千萬美元了
19960	21760	我們並沒有入賬
21760	25480	這些支票我們要麼給你退回去
25480	28480	要麼就是在這個撕毀
28720	32920	要麼就是你自己主動的要求給你寄回去都可以
32920	37360	但是請你一定和喜馬拉雅聯盟委員會啊聯繫
37360	40080	老班長和長島哥還有現在的草根小哥
40080	43480	還有大衛兄弟他們聯盟委員會來聯繫
43480	45240	把你的支票給你處理好
45240	48400	如何處理細節請跟他們聯繫好不好
48400	51880	希望全球的各農場戰友們盡快把這事處理好
51880	52680	第二個事情
52680	55200	兄弟姐妹們我再次拜託兄弟姐妹們
55280	56320	任何人啊
56320	61000	現在跟VOG和鳳凰基地對賬的戰友們
61000	64040	請和我們的喜馬拉雅聯盟委員會
64040	67200	他們是做義工組織是幫助戰友的啊
67200	69160	採取法律行動是另外一回事
69160	73280	請你們配合好和他們盡快聯繫
73280	78440	為下一步為你們爭取到和採取法律行動
78440	79600	做好一切的準備
79600	81400	請最好賬
81400	84120	最好賬兄弟姐妹們啊
84160	87160	一定別以為七哥承擔責任了
87160	88240	你都不管了
88240	90000	哪也不容啊是吧
90000	91080	拜託了拜託兄弟姐妹們
91080	93600	趕快跟他們喜馬拉雅聯盟委員會啊
93600	94560	把賬最好
94560	95680	然後呢
95680	98640	希望能得到你們授權的時候會給你們聯繫
98640	100040	然後希望你們配合的時候
100040	102240	希望你們高度配合好不好
102240	103920	美國是個法律社會
103920	106240	絕不是你嘴想說什麼就說什麼
106240	111480	一切是靠你的實力和你的證據
111480	113560	兄弟姐妹們放心吧啊
113600	114400	由七哥宰
114400	115880	毛婶毛婶啊
115880	118400	這個咱們喜馬拉雅聯盟委員會
118400	121560	是一個戰友之間的家庭組織
121560	122960	真正的戰友之家
122960	126800	就是你們的農場和喜馬拉雅聯盟委員會
126800	127640	母該宰了啊
127640	129320	兄弟姐妹們母該宰
