start	end	text
0	4800	一会儿你们就能看到七哥的早午餐
4800	10000	早午餐 四川咸菜米饭
10000	14000	咸菜鸡蛋火腿米饭
14000	19000	这种饭吃的时候你就会感受到
19000	22000	你真的会感受到
22000	25000	中国人的饮食是太了不起了
25000	26000	作为当时啊
26000	29000	我一个小毛孩子到那地方去
29000	31000	人家给咱做饭吃
31000	33000	真是中国老百姓太可爱了
33000	34000	太善良了
34000	37000	家里边仅有的鸡蛋
37000	39000	还有是家里边几片火腿
39000	43000	拿出来以后放了很多很多盐
43000	45000	就当咸菜炒的
45000	48000	然后大米饭盆那么大一盆
48000	50000	然后给我拿上来
50000	52000	然后给我炒出来往上一割
52000	54000	这么大一盆啊
54000	57000	我吃完了连一半饱都没有
58000	60000	老人家人家都没吃
60000	62000	我都不好意思了
62000	63000	最后再说你继续吃
63000	64000	锅里还有没看
64000	65000	锅里还有呢
65000	67000	我说你不吃我就不吃了
67000	71000	最后是老人家一人成了一小碗
71000	72000	当然了
72000	75000	我当时给人家本来说好的是30块钱
75000	78000	后来我给他扔下100块钱
78000	80000	扔下100块钱
80000	81000	老人家坚决不要
81000	83000	难忘了
83000	86000	中国人的骨子里边是善良的
86000	87000	善良的
87000	90000	中国的老百姓是太善老了
90000	93000	善到谁都想欺负谁都敢欺负
95000	97000	所以说你看啊
98000	100000	这个时候你看啊
100000	104000	我这个14分钟
104000	107000	放过14分钟还有14分钟是吧
109000	110000	所以说
111000	112000	兄弟姐妹们
112000	114000	这就是中国的饮食啊
114000	116000	咱们刚才我这个在锻炼期间
116000	119000	好多好多战友给我发信息
119000	120000	说七哥
120000	122000	还没看到你盖特呢
122000	124000	快录盖特
124000	125000	我说得了
125000	126000	我别录了
126000	128000	我说半天我还不录
128000	130000	给大家做饭吃
130000	132000	我今天给这管家
132000	134000	他说我做饭
134000	137000	我做饭给我做了你也可以吃
137000	139000	谁说我没喊过你啊
139000	141000	追随七哥
141000	144000	追随七哥爱心追随七哥
144000	147000	追随七哥爱心追随七哥
147000	149000	没喊过我喊过你了吧
149000	152000	冰冰和我来的时候就喊无数次了
154000	156000	很多战友说给我发信息
156000	159000	七哥我不看你盖特我睡不著觉
159000	161000	我睡不著觉啊
161000	163000	我咋弄啊
163000	166000	七哥我睡不著觉
166000	167000	乱喊
168000	169000	啊
169000	171000	我睡不著觉七哥直播
171000	172000	容不容
173000	174000	好这回呢
174000	177000	我到这儿再说把咱的口罩啊
181000	182000	大家看一看
182000	185000	这个这个雪多大看看
185000	186000	太漂亮了
186000	188000	我今天我本来我想
188000	190000	把这个雪啊你看看这雪
190000	193000	多漂亮兄弟姐妹们
193000	194000	你看看
198000	199000	纽约公园
199000	200000	看著没有
202000	205000	太漂亮了纽约现在
